site,year,month,day,time,dataset,file
NEON.D13.NIWO.DP1.00033,2017,4,26,120005,training,NEON.D13.NIWO.DP1.00033_2017_04_26_120005.jpg
NEON.D13.NIWO.DP1.00033,2017,4,27,120006,training,NEON.D13.NIWO.DP1.00033_2017_04_27_120006.jpg
NEON.D13.NIWO.DP1.00033,2017,4,28,120005,training,NEON.D13.NIWO.DP1.00033_2017_04_28_120005.jpg
NEON.D13.NIWO.DP1.00033,2017,4,29,120006,training,NEON.D13.NIWO.DP1.00033_2017_04_29_120006.jpg
NEON.D13.NIWO.DP1.00033,2017,4,30,120006,training,NEON.D13.NIWO.DP1.00033_2017_04_30_120006.jpg
NEON.D13.NIWO.DP1.00033,2017,5,1,120005,training,NEON.D13.NIWO.DP1.00033_2017_05_01_120005.jpg
NEON.D13.NIWO.DP1.00033,2017,5,2,120006,training,NEON.D13.NIWO.DP1.00033_2017_05_02_120006.jpg
NEON.D13.NIWO.DP1.00033,2017,5,3,120005,training,NEON.D13.NIWO.DP1.00033_2017_05_03_120005.jpg
NEON.D13.NIWO.DP1.00033,2017,5,4,120005,training,NEON.D13.NIWO.DP1.00033_2017_05_04_120005.jpg
NEON.D13.NIWO.DP1.00033,2017,5,5,120006,training,NEON.D13.NIWO.DP1.00033_2017_05_05_120006.jpg
NEON.D13.NIWO.DP1.00033,2017,5,6,120005,training,NEON.D13.NIWO.DP1.00033_2017_05_06_120005.jpg
NEON.D13.NIWO.DP1.00033,2017,5,7,120006,training,NEON.D13.NIWO.DP1.00033_2017_05_07_120006.jpg
NEON.D13.NIWO.DP1.00033,2017,5,8,120005,training,NEON.D13.NIWO.DP1.00033_2017_05_08_120005.jpg
NEON.D13.NIWO.DP1.00033,2017,5,9,120006,training,NEON.D13.NIWO.DP1.00033_2017_05_09_120006.jpg
NEON.D13.NIWO.DP1.00033,2017,5,10,120006,training,NEON.D13.NIWO.DP1.00033_2017_05_10_120006.jpg
NEON.D13.NIWO.DP1.00033,2017,5,11,120006,training,NEON.D13.NIWO.DP1.00033_2017_05_11_120006.jpg
NEON.D13.NIWO.DP1.00033,2017,5,12,120006,training,NEON.D13.NIWO.DP1.00033_2017_05_12_120006.jpg
NEON.D13.NIWO.DP1.00033,2017,5,13,120006,training,NEON.D13.NIWO.DP1.00033_2017_05_13_120006.jpg
NEON.D13.NIWO.DP1.00033,2017,5,14,120005,training,NEON.D13.NIWO.DP1.00033_2017_05_14_120005.jpg
NEON.D13.NIWO.DP1.00033,2017,5,15,120006,training,NEON.D13.NIWO.DP1.00033_2017_05_15_120006.jpg
NEON.D13.NIWO.DP1.00033,2017,5,16,120006,training,NEON.D13.NIWO.DP1.00033_2017_05_16_120006.jpg
NEON.D13.NIWO.DP1.00033,2017,5,17,120006,training,NEON.D13.NIWO.DP1.00033_2017_05_17_120006.jpg
NEON.D13.NIWO.DP1.00033,2017,5,18,120006,training,NEON.D13.NIWO.DP1.00033_2017_05_18_120006.jpg
NEON.D13.NIWO.DP1.00033,2017,5,19,120005,training,NEON.D13.NIWO.DP1.00033_2017_05_19_120005.jpg
NEON.D13.NIWO.DP1.00033,2017,5,20,120006,training,NEON.D13.NIWO.DP1.00033_2017_05_20_120006.jpg
NEON.D13.NIWO.DP1.00033,2017,5,21,120006,training,NEON.D13.NIWO.DP1.00033_2017_05_21_120006.jpg
NEON.D13.NIWO.DP1.00033,2017,5,22,120005,training,NEON.D13.NIWO.DP1.00033_2017_05_22_120005.jpg
NEON.D13.NIWO.DP1.00033,2017,5,23,120005,training,NEON.D13.NIWO.DP1.00033_2017_05_23_120005.jpg
NEON.D13.NIWO.DP1.00033,2017,5,24,120006,training,NEON.D13.NIWO.DP1.00033_2017_05_24_120006.jpg
NEON.D13.NIWO.DP1.00033,2017,5,25,120005,training,NEON.D13.NIWO.DP1.00033_2017_05_25_120005.jpg
NEON.D13.NIWO.DP1.00033,2017,5,26,120005,training,NEON.D13.NIWO.DP1.00033_2017_05_26_120005.jpg
NEON.D13.NIWO.DP1.00033,2017,5,27,120006,training,NEON.D13.NIWO.DP1.00033_2017_05_27_120006.jpg
NEON.D13.NIWO.DP1.00033,2017,5,28,120006,training,NEON.D13.NIWO.DP1.00033_2017_05_28_120006.jpg
NEON.D13.NIWO.DP1.00033,2017,5,29,120006,training,NEON.D13.NIWO.DP1.00033_2017_05_29_120006.jpg
NEON.D13.NIWO.DP1.00033,2017,5,30,120005,training,NEON.D13.NIWO.DP1.00033_2017_05_30_120005.jpg
