site,year,month,day,time,dataset,file
bartlettir,2011,4,20,121505,training,bartlettir_2011_04_20_121505.jpg
bartlettir,2011,4,21,120143,training,bartlettir_2011_04_21_120143.jpg
bartlettir,2011,4,22,120147,training,bartlettir_2011_04_22_120147.jpg
bartlettir,2011,4,23,120201,training,bartlettir_2011_04_23_120201.jpg
bartlettir,2011,4,24,120146,training,bartlettir_2011_04_24_120146.jpg
bartlettir,2011,4,25,120149,training,bartlettir_2011_04_25_120149.jpg
bartlettir,2011,4,26,120146,training,bartlettir_2011_04_26_120146.jpg
bartlettir,2011,4,27,120147,training,bartlettir_2011_04_27_120147.jpg
bartlettir,2011,4,28,120145,training,bartlettir_2011_04_28_120145.jpg
bartlettir,2011,4,29,120144,training,bartlettir_2011_04_29_120144.jpg
bartlettir,2011,4,30,120147,training,bartlettir_2011_04_30_120147.jpg
bartlettir,2011,5,1,120146,training,bartlettir_2011_05_01_120146.jpg
bartlettir,2011,5,2,120150,training,bartlettir_2011_05_02_120150.jpg
bartlettir,2011,5,3,120146,training,bartlettir_2011_05_03_120146.jpg
bartlettir,2011,5,4,120145,training,bartlettir_2011_05_04_120145.jpg
bartlettir,2011,5,5,120146,training,bartlettir_2011_05_05_120146.jpg
bartlettir,2011,5,6,120146,training,bartlettir_2011_05_06_120146.jpg
bartlettir,2011,5,7,120146,training,bartlettir_2011_05_07_120146.jpg
bartlettir,2011,5,8,120146,training,bartlettir_2011_05_08_120146.jpg
bartlettir,2011,5,9,120202,training,bartlettir_2011_05_09_120202.jpg
bartlettir,2011,5,10,120149,training,bartlettir_2011_05_10_120149.jpg
bartlettir,2011,5,11,120150,training,bartlettir_2011_05_11_120150.jpg
bartlettir,2011,5,12,120147,training,bartlettir_2011_05_12_120147.jpg
bartlettir,2011,5,13,120148,training,bartlettir_2011_05_13_120148.jpg
bartlettir,2011,5,14,120146,training,bartlettir_2011_05_14_120146.jpg
bartlettir,2011,5,15,120145,training,bartlettir_2011_05_15_120145.jpg
bartlettir,2011,5,17,120148,training,bartlettir_2011_05_17_120148.jpg
bartlettir,2011,5,18,120149,training,bartlettir_2011_05_18_120149.jpg
bartlettir,2011,5,19,120149,training,bartlettir_2011_05_19_120149.jpg
bartlettir,2011,5,20,120145,training,bartlettir_2011_05_20_120145.jpg
bartlettir,2011,5,21,120146,training,bartlettir_2011_05_21_120146.jpg
bartlettir,2011,5,22,120146,training,bartlettir_2011_05_22_120146.jpg
bartlettir,2011,5,23,120157,training,bartlettir_2011_05_23_120157.jpg
bartlettir,2011,5,24,120130,training,bartlettir_2011_05_24_120130.jpg
bartlettir,2011,5,25,120151,training,bartlettir_2011_05_25_120151.jpg
bartlettir,2011,5,26,120149,training,bartlettir_2011_05_26_120149.jpg
bartlettir,2011,5,27,120149,training,bartlettir_2011_05_27_120149.jpg
bartlettir,2011,5,28,120147,training,bartlettir_2011_05_28_120147.jpg
bartlettir,2011,5,29,120106,training,bartlettir_2011_05_29_120106.jpg
bartlettir,2011,5,30,120154,training,bartlettir_2011_05_30_120154.jpg
bartlettir,2011,5,31,120153,training,bartlettir_2011_05_31_120153.jpg
bartlettir,2011,6,1,120154,training,bartlettir_2011_06_01_120154.jpg
bartlettir,2011,6,2,120149,training,bartlettir_2011_06_02_120149.jpg
bartlettir,2011,6,3,120149,training,bartlettir_2011_06_03_120149.jpg
bartlettir,2011,6,4,120151,training,bartlettir_2011_06_04_120151.jpg
bartlettir,2011,6,5,120148,training,bartlettir_2011_06_05_120148.jpg
bartlettir,2011,6,6,120149,training,bartlettir_2011_06_06_120149.jpg
bartlettir,2011,6,7,120148,training,bartlettir_2011_06_07_120148.jpg
bartlettir,2011,6,8,120150,training,bartlettir_2011_06_08_120150.jpg
bartlettir,2011,6,9,120147,training,bartlettir_2011_06_09_120147.jpg
bartlettir,2011,6,11,120146,training,bartlettir_2011_06_11_120146.jpg
bartlettir,2011,6,12,120145,training,bartlettir_2011_06_12_120145.jpg
bartlettir,2011,6,13,120148,training,bartlettir_2011_06_13_120148.jpg
bartlettir,2011,6,14,120148,training,bartlettir_2011_06_14_120148.jpg
bartlettir,2011,6,15,120150,training,bartlettir_2011_06_15_120150.jpg
bartlettir,2011,6,16,120148,training,bartlettir_2011_06_16_120148.jpg
bartlettir,2011,6,17,120147,training,bartlettir_2011_06_17_120147.jpg
bartlettir,2011,6,18,120151,training,bartlettir_2011_06_18_120151.jpg
bartlettir,2011,6,19,120149,training,bartlettir_2011_06_19_120149.jpg
bartlettir,2011,6,20,120149,training,bartlettir_2011_06_20_120149.jpg
bartlettir,2011,6,21,120149,training,bartlettir_2011_06_21_120149.jpg
bartlettir,2011,6,22,120147,training,bartlettir_2011_06_22_120147.jpg
bartlettir,2011,6,23,120146,training,bartlettir_2011_06_23_120146.jpg
bartlettir,2011,6,24,120200,training,bartlettir_2011_06_24_120200.jpg
bartlettir,2011,6,25,120146,training,bartlettir_2011_06_25_120146.jpg
bartlettir,2011,6,26,120145,training,bartlettir_2011_06_26_120145.jpg
bartlettir,2011,6,27,120151,training,bartlettir_2011_06_27_120151.jpg
bartlettir,2011,6,28,120148,training,bartlettir_2011_06_28_120148.jpg
bartlettir,2011,6,29,120150,training,bartlettir_2011_06_29_120150.jpg
bartlettir,2011,6,30,120146,training,bartlettir_2011_06_30_120146.jpg
bartlettir,2011,7,1,120146,training,bartlettir_2011_07_01_120146.jpg
bartlettir,2011,7,2,120148,training,bartlettir_2011_07_02_120148.jpg
bartlettir,2011,7,3,120144,training,bartlettir_2011_07_03_120144.jpg
bartlettir,2011,7,4,120147,training,bartlettir_2011_07_04_120147.jpg
bartlettir,2011,7,5,120149,training,bartlettir_2011_07_05_120149.jpg
bartlettir,2011,7,6,120149,training,bartlettir_2011_07_06_120149.jpg
bartlettir,2011,7,7,120150,training,bartlettir_2011_07_07_120150.jpg
bartlettir,2011,7,8,120149,training,bartlettir_2011_07_08_120149.jpg
bartlettir,2011,7,9,120146,training,bartlettir_2011_07_09_120146.jpg
bartlettir,2011,7,11,120149,training,bartlettir_2011_07_11_120149.jpg
bartlettir,2011,7,12,120147,training,bartlettir_2011_07_12_120147.jpg
bartlettir,2011,7,13,120145,training,bartlettir_2011_07_13_120145.jpg
bartlettir,2011,7,14,120149,training,bartlettir_2011_07_14_120149.jpg
bartlettir,2011,7,15,120152,training,bartlettir_2011_07_15_120152.jpg
bartlettir,2011,7,16,120150,training,bartlettir_2011_07_16_120150.jpg
bartlettir,2011,7,17,120148,training,bartlettir_2011_07_17_120148.jpg
bartlettir,2011,7,18,120147,training,bartlettir_2011_07_18_120147.jpg
bartlettir,2011,7,19,120149,training,bartlettir_2011_07_19_120149.jpg
bartlettir,2011,7,20,120150,training,bartlettir_2011_07_20_120150.jpg
bartlettir,2011,7,21,120147,training,bartlettir_2011_07_21_120147.jpg
bartlettir,2011,7,23,120150,training,bartlettir_2011_07_23_120150.jpg
bartlettir,2011,7,24,120148,training,bartlettir_2011_07_24_120148.jpg
bartlettir,2011,7,25,120146,training,bartlettir_2011_07_25_120146.jpg
bartlettir,2011,7,26,120147,training,bartlettir_2011_07_26_120147.jpg
bartlettir,2011,7,27,120146,training,bartlettir_2011_07_27_120146.jpg
bartlettir,2011,7,28,120149,training,bartlettir_2011_07_28_120149.jpg
bartlettir,2011,7,29,120144,training,bartlettir_2011_07_29_120144.jpg
bartlettir,2011,7,30,120148,training,bartlettir_2011_07_30_120148.jpg
bartlettir,2011,7,31,120148,training,bartlettir_2011_07_31_120148.jpg
bartlettir,2011,8,1,120145,training,bartlettir_2011_08_01_120145.jpg
bartlettir,2011,8,2,120146,training,bartlettir_2011_08_02_120146.jpg
bartlettir,2011,8,3,120144,training,bartlettir_2011_08_03_120144.jpg
bartlettir,2011,8,4,120143,training,bartlettir_2011_08_04_120143.jpg
bartlettir,2011,8,5,120142,training,bartlettir_2011_08_05_120142.jpg
bartlettir,2011,8,6,120142,training,bartlettir_2011_08_06_120142.jpg
bartlettir,2011,8,7,120142,training,bartlettir_2011_08_07_120142.jpg
bartlettir,2011,8,8,120144,training,bartlettir_2011_08_08_120144.jpg
bartlettir,2011,8,9,120143,training,bartlettir_2011_08_09_120143.jpg
bartlettir,2011,8,10,120142,training,bartlettir_2011_08_10_120142.jpg
bartlettir,2011,8,11,120147,training,bartlettir_2011_08_11_120147.jpg
bartlettir,2011,8,12,120145,training,bartlettir_2011_08_12_120145.jpg
bartlettir,2011,8,13,120143,training,bartlettir_2011_08_13_120143.jpg
bartlettir,2011,8,14,120144,training,bartlettir_2011_08_14_120144.jpg
bartlettir,2011,8,15,120144,training,bartlettir_2011_08_15_120144.jpg
bartlettir,2011,8,16,120141,training,bartlettir_2011_08_16_120141.jpg
bartlettir,2011,8,17,120145,training,bartlettir_2011_08_17_120145.jpg
bartlettir,2011,8,18,120147,training,bartlettir_2011_08_18_120147.jpg
bartlettir,2011,8,19,120140,training,bartlettir_2011_08_19_120140.jpg
bartlettir,2011,8,20,120141,training,bartlettir_2011_08_20_120141.jpg
bartlettir,2011,8,21,120143,training,bartlettir_2011_08_21_120143.jpg
bartlettir,2011,8,22,120147,training,bartlettir_2011_08_22_120147.jpg
bartlettir,2011,8,23,120149,training,bartlettir_2011_08_23_120149.jpg
bartlettir,2011,8,24,120149,training,bartlettir_2011_08_24_120149.jpg
bartlettir,2011,8,25,120147,training,bartlettir_2011_08_25_120147.jpg
bartlettir,2011,8,26,120149,training,bartlettir_2011_08_26_120149.jpg
bartlettir,2011,8,27,120144,training,bartlettir_2011_08_27_120144.jpg
bartlettir,2011,9,4,120158,training,bartlettir_2011_09_04_120158.jpg
bartlettir,2011,9,5,120147,training,bartlettir_2011_09_05_120147.jpg
bartlettir,2011,9,6,120149,training,bartlettir_2011_09_06_120149.jpg
bartlettir,2011,9,7,120149,training,bartlettir_2011_09_07_120149.jpg
bartlettir,2011,9,8,120347,training,bartlettir_2011_09_08_120347.jpg
bartlettir,2011,9,9,120153,training,bartlettir_2011_09_09_120153.jpg
bartlettir,2011,9,10,120157,training,bartlettir_2011_09_10_120157.jpg
bartlettir,2011,9,11,120156,training,bartlettir_2011_09_11_120156.jpg
bartlettir,2011,9,12,120158,training,bartlettir_2011_09_12_120158.jpg
bartlettir,2011,9,13,120206,training,bartlettir_2011_09_13_120206.jpg
bartlettir,2011,9,14,120146,training,bartlettir_2011_09_14_120146.jpg
bartlettir,2011,9,15,120141,training,bartlettir_2011_09_15_120141.jpg
bartlettir,2011,9,16,120146,training,bartlettir_2011_09_16_120146.jpg
bartlettir,2011,9,17,120147,training,bartlettir_2011_09_17_120147.jpg
bartlettir,2011,9,18,120251,training,bartlettir_2011_09_18_120251.jpg
bartlettir,2011,9,19,120149,training,bartlettir_2011_09_19_120149.jpg
bartlettir,2011,9,20,120143,training,bartlettir_2011_09_20_120143.jpg
bartlettir,2011,9,21,120145,training,bartlettir_2011_09_21_120145.jpg
bartlettir,2011,9,23,120204,training,bartlettir_2011_09_23_120204.jpg
bartlettir,2011,9,24,120151,training,bartlettir_2011_09_24_120151.jpg
