site,year,month,day,time,dataset,file
burnssagebrush,2012,10,16,120232,training,burnssagebrush_2012_10_16_120232.jpg
burnssagebrush,2012,10,17,120220,training,burnssagebrush_2012_10_17_120220.jpg
burnssagebrush,2012,10,18,120159,training,burnssagebrush_2012_10_18_120159.jpg
burnssagebrush,2012,10,19,120140,training,burnssagebrush_2012_10_19_120140.jpg
burnssagebrush,2012,10,20,120144,training,burnssagebrush_2012_10_20_120144.jpg
burnssagebrush,2012,10,21,120150,training,burnssagebrush_2012_10_21_120150.jpg
burnssagebrush,2012,10,22,120141,training,burnssagebrush_2012_10_22_120141.jpg
burnssagebrush,2012,10,23,120151,training,burnssagebrush_2012_10_23_120151.jpg
burnssagebrush,2012,10,24,120149,training,burnssagebrush_2012_10_24_120149.jpg
burnssagebrush,2012,10,25,120146,training,burnssagebrush_2012_10_25_120146.jpg
burnssagebrush,2012,10,26,120152,training,burnssagebrush_2012_10_26_120152.jpg
burnssagebrush,2012,10,27,120145,training,burnssagebrush_2012_10_27_120145.jpg
burnssagebrush,2012,10,28,120149,training,burnssagebrush_2012_10_28_120149.jpg
burnssagebrush,2012,10,29,120156,training,burnssagebrush_2012_10_29_120156.jpg
burnssagebrush,2012,10,30,120218,training,burnssagebrush_2012_10_30_120218.jpg
burnssagebrush,2012,10,31,123151,training,burnssagebrush_2012_10_31_123151.jpg
burnssagebrush,2012,11,1,120140,training,burnssagebrush_2012_11_01_120140.jpg
burnssagebrush,2012,11,2,123141,training,burnssagebrush_2012_11_02_123141.jpg
burnssagebrush,2012,11,3,120226,training,burnssagebrush_2012_11_03_120226.jpg
burnssagebrush,2012,11,4,120236,training,burnssagebrush_2012_11_04_120236.jpg
burnssagebrush,2012,11,5,120223,training,burnssagebrush_2012_11_05_120223.jpg
burnssagebrush,2012,11,6,120308,training,burnssagebrush_2012_11_06_120308.jpg
burnssagebrush,2012,11,7,120234,training,burnssagebrush_2012_11_07_120234.jpg
burnssagebrush,2012,11,8,120229,training,burnssagebrush_2012_11_08_120229.jpg
burnssagebrush,2012,11,9,120214,training,burnssagebrush_2012_11_09_120214.jpg
burnssagebrush,2012,11,10,120232,training,burnssagebrush_2012_11_10_120232.jpg
burnssagebrush,2012,11,11,120234,training,burnssagebrush_2012_11_11_120234.jpg
burnssagebrush,2012,11,12,120232,training,burnssagebrush_2012_11_12_120232.jpg
burnssagebrush,2012,11,13,120211,training,burnssagebrush_2012_11_13_120211.jpg
burnssagebrush,2012,11,14,120158,training,burnssagebrush_2012_11_14_120158.jpg
burnssagebrush,2012,11,15,120229,training,burnssagebrush_2012_11_15_120229.jpg
burnssagebrush,2012,11,16,120239,training,burnssagebrush_2012_11_16_120239.jpg
burnssagebrush,2012,11,17,120229,training,burnssagebrush_2012_11_17_120229.jpg
burnssagebrush,2012,11,18,120228,training,burnssagebrush_2012_11_18_120228.jpg
burnssagebrush,2012,11,19,120209,training,burnssagebrush_2012_11_19_120209.jpg
burnssagebrush,2012,11,20,120924,training,burnssagebrush_2012_11_20_120924.jpg
burnssagebrush,2012,11,21,120225,training,burnssagebrush_2012_11_21_120225.jpg
burnssagebrush,2012,11,22,120236,training,burnssagebrush_2012_11_22_120236.jpg
burnssagebrush,2012,11,23,120249,training,burnssagebrush_2012_11_23_120249.jpg
burnssagebrush,2012,11,24,120218,training,burnssagebrush_2012_11_24_120218.jpg
burnssagebrush,2012,11,25,120226,training,burnssagebrush_2012_11_25_120226.jpg
burnssagebrush,2012,11,26,120216,training,burnssagebrush_2012_11_26_120216.jpg
burnssagebrush,2012,11,27,120223,training,burnssagebrush_2012_11_27_120223.jpg
burnssagebrush,2012,11,28,120222,training,burnssagebrush_2012_11_28_120222.jpg
burnssagebrush,2012,11,29,120143,training,burnssagebrush_2012_11_29_120143.jpg
burnssagebrush,2012,11,30,120252,training,burnssagebrush_2012_11_30_120252.jpg
burnssagebrush,2012,12,1,120214,training,burnssagebrush_2012_12_01_120214.jpg
burnssagebrush,2012,12,2,120228,training,burnssagebrush_2012_12_02_120228.jpg
burnssagebrush,2012,12,3,120231,training,burnssagebrush_2012_12_03_120231.jpg
burnssagebrush,2012,12,4,120220,training,burnssagebrush_2012_12_04_120220.jpg
burnssagebrush,2012,12,5,120109,training,burnssagebrush_2012_12_05_120109.jpg
burnssagebrush,2012,12,6,120121,training,burnssagebrush_2012_12_06_120121.jpg
burnssagebrush,2012,12,7,120111,training,burnssagebrush_2012_12_07_120111.jpg
burnssagebrush,2012,12,8,120109,training,burnssagebrush_2012_12_08_120109.jpg
burnssagebrush,2012,12,9,120112,training,burnssagebrush_2012_12_09_120112.jpg
burnssagebrush,2012,12,10,120112,training,burnssagebrush_2012_12_10_120112.jpg
burnssagebrush,2012,12,11,120112,training,burnssagebrush_2012_12_11_120112.jpg
burnssagebrush,2012,12,12,120112,training,burnssagebrush_2012_12_12_120112.jpg
burnssagebrush,2012,12,13,120111,training,burnssagebrush_2012_12_13_120111.jpg
burnssagebrush,2012,12,14,120112,training,burnssagebrush_2012_12_14_120112.jpg
burnssagebrush,2012,12,15,120112,training,burnssagebrush_2012_12_15_120112.jpg
burnssagebrush,2012,12,16,120109,training,burnssagebrush_2012_12_16_120109.jpg
burnssagebrush,2012,12,17,120110,training,burnssagebrush_2012_12_17_120110.jpg
burnssagebrush,2012,12,18,120039,training,burnssagebrush_2012_12_18_120039.jpg
burnssagebrush,2012,12,19,123110,training,burnssagebrush_2012_12_19_123110.jpg
burnssagebrush,2012,12,20,120112,training,burnssagebrush_2012_12_20_120112.jpg
burnssagebrush,2012,12,21,120111,training,burnssagebrush_2012_12_21_120111.jpg
burnssagebrush,2012,12,22,120109,training,burnssagebrush_2012_12_22_120109.jpg
burnssagebrush,2012,12,23,120111,training,burnssagebrush_2012_12_23_120111.jpg
burnssagebrush,2012,12,24,120110,training,burnssagebrush_2012_12_24_120110.jpg
burnssagebrush,2012,12,25,120109,training,burnssagebrush_2012_12_25_120109.jpg
burnssagebrush,2012,12,26,120039,training,burnssagebrush_2012_12_26_120039.jpg
burnssagebrush,2012,12,27,120112,training,burnssagebrush_2012_12_27_120112.jpg
burnssagebrush,2012,12,28,120113,training,burnssagebrush_2012_12_28_120113.jpg
burnssagebrush,2012,12,29,120112,training,burnssagebrush_2012_12_29_120112.jpg
burnssagebrush,2012,12,30,120112,training,burnssagebrush_2012_12_30_120112.jpg
burnssagebrush,2012,12,31,120111,training,burnssagebrush_2012_12_31_120111.jpg
burnssagebrush,2013,1,1,120039,training,burnssagebrush_2013_01_01_120039.jpg
burnssagebrush,2013,1,2,120111,training,burnssagebrush_2013_01_02_120111.jpg
burnssagebrush,2013,1,3,120111,training,burnssagebrush_2013_01_03_120111.jpg
burnssagebrush,2013,1,4,120111,training,burnssagebrush_2013_01_04_120111.jpg
burnssagebrush,2013,1,5,120111,training,burnssagebrush_2013_01_05_120111.jpg
burnssagebrush,2013,1,6,120110,training,burnssagebrush_2013_01_06_120110.jpg
burnssagebrush,2013,1,7,120112,training,burnssagebrush_2013_01_07_120112.jpg
burnssagebrush,2013,1,8,120111,training,burnssagebrush_2013_01_08_120111.jpg
burnssagebrush,2013,1,9,120039,training,burnssagebrush_2013_01_09_120039.jpg
burnssagebrush,2013,1,10,120110,training,burnssagebrush_2013_01_10_120110.jpg
burnssagebrush,2013,1,11,120110,training,burnssagebrush_2013_01_11_120110.jpg
burnssagebrush,2013,1,12,120118,training,burnssagebrush_2013_01_12_120118.jpg
burnssagebrush,2013,1,13,123111,training,burnssagebrush_2013_01_13_123111.jpg
burnssagebrush,2013,1,14,120112,training,burnssagebrush_2013_01_14_120112.jpg
burnssagebrush,2013,1,15,120110,training,burnssagebrush_2013_01_15_120110.jpg
burnssagebrush,2013,1,16,120133,training,burnssagebrush_2013_01_16_120133.jpg
burnssagebrush,2013,1,17,120110,training,burnssagebrush_2013_01_17_120110.jpg
burnssagebrush,2013,1,18,120109,training,burnssagebrush_2013_01_18_120109.jpg
burnssagebrush,2013,1,19,120109,training,burnssagebrush_2013_01_19_120109.jpg
burnssagebrush,2013,1,20,120112,training,burnssagebrush_2013_01_20_120112.jpg
burnssagebrush,2013,1,21,120110,training,burnssagebrush_2013_01_21_120110.jpg
burnssagebrush,2013,1,22,120113,training,burnssagebrush_2013_01_22_120113.jpg
burnssagebrush,2013,1,23,120112,training,burnssagebrush_2013_01_23_120112.jpg
burnssagebrush,2013,1,24,120111,training,burnssagebrush_2013_01_24_120111.jpg
burnssagebrush,2013,1,25,120109,training,burnssagebrush_2013_01_25_120109.jpg
burnssagebrush,2013,1,26,120108,training,burnssagebrush_2013_01_26_120108.jpg
burnssagebrush,2013,1,27,120923,training,burnssagebrush_2013_01_27_120923.jpg
burnssagebrush,2013,1,28,120111,training,burnssagebrush_2013_01_28_120111.jpg
burnssagebrush,2013,1,29,120112,training,burnssagebrush_2013_01_29_120112.jpg
burnssagebrush,2013,1,30,120110,training,burnssagebrush_2013_01_30_120110.jpg
burnssagebrush,2013,1,31,120110,training,burnssagebrush_2013_01_31_120110.jpg
burnssagebrush,2013,2,1,120111,training,burnssagebrush_2013_02_01_120111.jpg
burnssagebrush,2013,2,2,120110,training,burnssagebrush_2013_02_02_120110.jpg
burnssagebrush,2013,2,3,120108,training,burnssagebrush_2013_02_03_120108.jpg
burnssagebrush,2013,2,4,120108,training,burnssagebrush_2013_02_04_120108.jpg
burnssagebrush,2013,2,5,120109,training,burnssagebrush_2013_02_05_120109.jpg
burnssagebrush,2013,2,6,120114,training,burnssagebrush_2013_02_06_120114.jpg
burnssagebrush,2013,2,7,120109,training,burnssagebrush_2013_02_07_120109.jpg
burnssagebrush,2013,2,8,123108,training,burnssagebrush_2013_02_08_123108.jpg
burnssagebrush,2013,2,9,120108,training,burnssagebrush_2013_02_09_120108.jpg
burnssagebrush,2013,2,10,120108,training,burnssagebrush_2013_02_10_120108.jpg
burnssagebrush,2013,2,11,120111,training,burnssagebrush_2013_02_11_120111.jpg
burnssagebrush,2013,2,12,120114,training,burnssagebrush_2013_02_12_120114.jpg
burnssagebrush,2013,2,13,120114,training,burnssagebrush_2013_02_13_120114.jpg
burnssagebrush,2013,2,14,120111,training,burnssagebrush_2013_02_14_120111.jpg
burnssagebrush,2013,2,15,120111,training,burnssagebrush_2013_02_15_120111.jpg
burnssagebrush,2013,2,16,120924,training,burnssagebrush_2013_02_16_120924.jpg
burnssagebrush,2013,2,17,120113,training,burnssagebrush_2013_02_17_120113.jpg
burnssagebrush,2013,2,18,120112,training,burnssagebrush_2013_02_18_120112.jpg
burnssagebrush,2013,2,19,120108,training,burnssagebrush_2013_02_19_120108.jpg
burnssagebrush,2013,2,20,120111,training,burnssagebrush_2013_02_20_120111.jpg
burnssagebrush,2013,2,21,120110,training,burnssagebrush_2013_02_21_120110.jpg
burnssagebrush,2013,2,22,120112,training,burnssagebrush_2013_02_22_120112.jpg
burnssagebrush,2013,2,23,120117,training,burnssagebrush_2013_02_23_120117.jpg
burnssagebrush,2013,2,24,120110,training,burnssagebrush_2013_02_24_120110.jpg
burnssagebrush,2013,2,25,120109,training,burnssagebrush_2013_02_25_120109.jpg
burnssagebrush,2013,2,26,120112,training,burnssagebrush_2013_02_26_120112.jpg
burnssagebrush,2013,2,27,120116,training,burnssagebrush_2013_02_27_120116.jpg
burnssagebrush,2013,2,28,120112,training,burnssagebrush_2013_02_28_120112.jpg
burnssagebrush,2013,3,1,120111,training,burnssagebrush_2013_03_01_120111.jpg
burnssagebrush,2013,3,2,120112,training,burnssagebrush_2013_03_02_120112.jpg
burnssagebrush,2013,3,3,120923,training,burnssagebrush_2013_03_03_120923.jpg
burnssagebrush,2013,3,4,123113,training,burnssagebrush_2013_03_04_123113.jpg
burnssagebrush,2013,3,5,120112,training,burnssagebrush_2013_03_05_120112.jpg
burnssagebrush,2013,3,6,120105,training,burnssagebrush_2013_03_06_120105.jpg
burnssagebrush,2013,3,7,120112,training,burnssagebrush_2013_03_07_120112.jpg
burnssagebrush,2013,3,18,120117,training,burnssagebrush_2013_03_18_120117.jpg
burnssagebrush,2013,3,19,120111,training,burnssagebrush_2013_03_19_120111.jpg
