site,year,month,day,time,dataset,file
grandteton,2015,7,29,120006,training,grandteton_2015_07_29_120006.jpg
grandteton,2015,7,30,120008,training,grandteton_2015_07_30_120008.jpg
grandteton,2015,7,31,120008,training,grandteton_2015_07_31_120008.jpg
grandteton,2015,8,1,120008,training,grandteton_2015_08_01_120008.jpg
grandteton,2015,8,2,120007,training,grandteton_2015_08_02_120007.jpg
grandteton,2015,8,4,120007,training,grandteton_2015_08_04_120007.jpg
grandteton,2015,8,5,120008,training,grandteton_2015_08_05_120008.jpg
grandteton,2015,8,6,120006,training,grandteton_2015_08_06_120006.jpg
grandteton,2015,8,7,120009,training,grandteton_2015_08_07_120009.jpg
grandteton,2015,8,8,120008,training,grandteton_2015_08_08_120008.jpg
grandteton,2015,8,9,120007,training,grandteton_2015_08_09_120007.jpg
grandteton,2015,8,10,120007,training,grandteton_2015_08_10_120007.jpg
grandteton,2015,8,11,120009,training,grandteton_2015_08_11_120009.jpg
grandteton,2015,8,12,120007,training,grandteton_2015_08_12_120007.jpg
grandteton,2015,8,13,120006,training,grandteton_2015_08_13_120006.jpg
grandteton,2015,8,14,120007,training,grandteton_2015_08_14_120007.jpg
grandteton,2015,8,15,120006,training,grandteton_2015_08_15_120006.jpg
grandteton,2015,8,16,120009,training,grandteton_2015_08_16_120009.jpg
grandteton,2015,8,17,120008,training,grandteton_2015_08_17_120008.jpg
grandteton,2015,8,18,120008,training,grandteton_2015_08_18_120008.jpg
grandteton,2015,8,19,120007,training,grandteton_2015_08_19_120007.jpg
grandteton,2015,8,20,120007,training,grandteton_2015_08_20_120007.jpg
grandteton,2015,8,21,120006,training,grandteton_2015_08_21_120006.jpg
grandteton,2015,8,22,120007,training,grandteton_2015_08_22_120007.jpg
grandteton,2015,8,23,120008,training,grandteton_2015_08_23_120008.jpg
grandteton,2015,8,24,120008,training,grandteton_2015_08_24_120008.jpg
grandteton,2015,8,25,120007,training,grandteton_2015_08_25_120007.jpg
grandteton,2015,8,26,120007,training,grandteton_2015_08_26_120007.jpg
grandteton,2015,8,27,120009,training,grandteton_2015_08_27_120009.jpg
grandteton,2015,8,28,120008,training,grandteton_2015_08_28_120008.jpg
grandteton,2015,8,29,120008,training,grandteton_2015_08_29_120008.jpg
grandteton,2015,8,30,120008,training,grandteton_2015_08_30_120008.jpg
grandteton,2015,8,31,120007,training,grandteton_2015_08_31_120007.jpg
grandteton,2015,9,1,120006,training,grandteton_2015_09_01_120006.jpg
grandteton,2015,9,2,120007,training,grandteton_2015_09_02_120007.jpg
grandteton,2015,9,3,120007,training,grandteton_2015_09_03_120007.jpg
grandteton,2015,9,4,120008,training,grandteton_2015_09_04_120008.jpg
grandteton,2015,9,5,120006,training,grandteton_2015_09_05_120006.jpg
grandteton,2015,9,6,120008,training,grandteton_2015_09_06_120008.jpg
grandteton,2015,9,7,120008,training,grandteton_2015_09_07_120008.jpg
grandteton,2015,9,8,120006,training,grandteton_2015_09_08_120006.jpg
grandteton,2015,9,9,120007,training,grandteton_2015_09_09_120007.jpg
grandteton,2015,9,10,120007,training,grandteton_2015_09_10_120007.jpg
grandteton,2015,9,11,120008,training,grandteton_2015_09_11_120008.jpg
grandteton,2015,9,12,120006,training,grandteton_2015_09_12_120006.jpg
grandteton,2015,9,13,120008,training,grandteton_2015_09_13_120008.jpg
grandteton,2015,9,14,120006,training,grandteton_2015_09_14_120006.jpg
grandteton,2015,9,15,120007,training,grandteton_2015_09_15_120007.jpg
grandteton,2015,9,16,120007,training,grandteton_2015_09_16_120007.jpg
grandteton,2015,9,17,120008,training,grandteton_2015_09_17_120008.jpg
grandteton,2015,9,18,120008,training,grandteton_2015_09_18_120008.jpg
grandteton,2015,9,19,120006,training,grandteton_2015_09_19_120006.jpg
grandteton,2015,9,20,120008,training,grandteton_2015_09_20_120008.jpg
grandteton,2015,9,21,120008,training,grandteton_2015_09_21_120008.jpg
grandteton,2015,9,22,120006,training,grandteton_2015_09_22_120006.jpg
grandteton,2015,9,23,120007,training,grandteton_2015_09_23_120007.jpg
grandteton,2015,9,24,120007,training,grandteton_2015_09_24_120007.jpg
grandteton,2015,9,25,120008,training,grandteton_2015_09_25_120008.jpg
grandteton,2015,9,26,120008,training,grandteton_2015_09_26_120008.jpg
grandteton,2015,9,27,120008,training,grandteton_2015_09_27_120008.jpg
grandteton,2015,9,28,120007,training,grandteton_2015_09_28_120007.jpg
grandteton,2015,9,29,120007,training,grandteton_2015_09_29_120007.jpg
