site,year,month,day,time,dataset,file
konza,2012,5,16,103104,training,konza_2012_05_16_103104.jpg
konza,2012,5,17,120923,training,konza_2012_05_17_120923.jpg
konza,2012,5,18,120923,training,konza_2012_05_18_120923.jpg
konza,2012,5,19,120250,training,konza_2012_05_19_120250.jpg
konza,2012,5,20,120105,training,konza_2012_05_20_120105.jpg
konza,2012,5,21,120105,training,konza_2012_05_21_120105.jpg
konza,2012,5,23,120108,training,konza_2012_05_23_120108.jpg
konza,2012,5,24,120106,training,konza_2012_05_24_120106.jpg
konza,2012,6,11,120923,training,konza_2012_06_11_120923.jpg
konza,2012,6,12,113922,training,konza_2012_06_12_113922.jpg
konza,2012,6,13,100921,training,konza_2012_06_13_100921.jpg
konza,2012,6,15,121459,training,konza_2012_06_15_121459.jpg
konza,2012,6,16,122422,training,konza_2012_06_16_122422.jpg
konza,2012,6,18,125422,training,konza_2012_06_18_125422.jpg
konza,2012,6,19,114832,training,konza_2012_06_19_114832.jpg
konza,2012,6,20,105943,training,konza_2012_06_20_105943.jpg
konza,2012,6,21,120115,training,konza_2012_06_21_120115.jpg
konza,2012,6,22,120115,training,konza_2012_06_22_120115.jpg
konza,2012,6,23,123113,training,konza_2012_06_23_123113.jpg
konza,2012,6,24,120113,training,konza_2012_06_24_120113.jpg
konza,2012,6,25,120114,training,konza_2012_06_25_120114.jpg
konza,2012,6,26,120109,training,konza_2012_06_26_120109.jpg
konza,2012,6,27,120113,training,konza_2012_06_27_120113.jpg
konza,2012,6,28,120117,training,konza_2012_06_28_120117.jpg
konza,2012,6,29,120113,training,konza_2012_06_29_120113.jpg
konza,2012,6,30,120115,training,konza_2012_06_30_120115.jpg
konza,2012,7,1,120108,training,konza_2012_07_01_120108.jpg
konza,2012,7,2,120113,training,konza_2012_07_02_120113.jpg
konza,2012,7,3,120114,training,konza_2012_07_03_120114.jpg
konza,2012,7,5,130113,training,konza_2012_07_05_130113.jpg
konza,2012,7,6,120124,training,konza_2012_07_06_120124.jpg
konza,2012,7,7,120114,training,konza_2012_07_07_120114.jpg
konza,2012,7,8,120113,training,konza_2012_07_08_120113.jpg
konza,2012,7,9,120114,training,konza_2012_07_09_120114.jpg
konza,2012,7,10,120114,training,konza_2012_07_10_120114.jpg
konza,2012,7,11,120109,training,konza_2012_07_11_120109.jpg
konza,2012,7,12,120122,training,konza_2012_07_12_120122.jpg
konza,2012,7,13,123118,training,konza_2012_07_13_123118.jpg
konza,2012,7,14,120129,training,konza_2012_07_14_120129.jpg
konza,2012,7,15,120115,training,konza_2012_07_15_120115.jpg
konza,2012,7,16,120118,training,konza_2012_07_16_120118.jpg
konza,2012,7,17,120114,training,konza_2012_07_17_120114.jpg
konza,2012,7,18,123106,training,konza_2012_07_18_123106.jpg
konza,2012,7,19,123107,training,konza_2012_07_19_123107.jpg
konza,2012,7,20,120114,training,konza_2012_07_20_120114.jpg
konza,2012,7,21,120116,training,konza_2012_07_21_120116.jpg
konza,2012,7,22,120113,training,konza_2012_07_22_120113.jpg
konza,2012,7,23,120115,training,konza_2012_07_23_120115.jpg
konza,2012,7,24,120114,training,konza_2012_07_24_120114.jpg
konza,2012,7,25,123114,training,konza_2012_07_25_123114.jpg
konza,2012,7,26,120110,training,konza_2012_07_26_120110.jpg
konza,2012,7,27,120125,training,konza_2012_07_27_120125.jpg
konza,2012,7,28,120109,training,konza_2012_07_28_120109.jpg
konza,2012,7,29,120110,training,konza_2012_07_29_120110.jpg
konza,2012,7,30,123107,training,konza_2012_07_30_123107.jpg
konza,2012,7,31,120109,training,konza_2012_07_31_120109.jpg
konza,2012,8,1,120116,training,konza_2012_08_01_120116.jpg
konza,2012,8,2,120109,training,konza_2012_08_02_120109.jpg
konza,2012,8,3,120110,training,konza_2012_08_03_120110.jpg
konza,2012,8,4,103108,training,konza_2012_08_04_103108.jpg
konza,2012,8,6,120108,training,konza_2012_08_06_120108.jpg
konza,2012,8,8,120104,training,konza_2012_08_08_120104.jpg
konza,2012,8,9,123102,training,konza_2012_08_09_123102.jpg
konza,2012,8,10,120105,training,konza_2012_08_10_120105.jpg
konza,2012,8,11,120105,training,konza_2012_08_11_120105.jpg
konza,2012,8,12,120104,training,konza_2012_08_12_120104.jpg
konza,2012,8,13,120104,training,konza_2012_08_13_120104.jpg
konza,2012,8,14,123102,training,konza_2012_08_14_123102.jpg
konza,2012,8,15,120105,training,konza_2012_08_15_120105.jpg
konza,2012,8,16,120104,training,konza_2012_08_16_120104.jpg
konza,2012,8,17,120105,training,konza_2012_08_17_120105.jpg
konza,2012,8,18,123103,training,konza_2012_08_18_123103.jpg
konza,2012,8,19,120105,training,konza_2012_08_19_120105.jpg
konza,2012,8,20,120104,training,konza_2012_08_20_120104.jpg
konza,2012,8,21,120104,training,konza_2012_08_21_120104.jpg
konza,2012,8,22,120107,training,konza_2012_08_22_120107.jpg
konza,2012,8,23,120106,training,konza_2012_08_23_120106.jpg
konza,2012,8,24,120104,training,konza_2012_08_24_120104.jpg
konza,2012,8,25,120103,training,konza_2012_08_25_120103.jpg
konza,2012,8,26,120115,training,konza_2012_08_26_120115.jpg
konza,2012,8,27,120106,training,konza_2012_08_27_120106.jpg
konza,2012,8,28,120106,training,konza_2012_08_28_120106.jpg
konza,2012,8,29,123103,training,konza_2012_08_29_123103.jpg
konza,2012,8,30,120105,training,konza_2012_08_30_120105.jpg
konza,2012,8,31,120106,training,konza_2012_08_31_120106.jpg
konza,2012,9,1,120104,training,konza_2012_09_01_120104.jpg
konza,2012,9,2,120107,training,konza_2012_09_02_120107.jpg
konza,2012,9,3,120104,training,konza_2012_09_03_120104.jpg
konza,2012,9,4,120105,training,konza_2012_09_04_120105.jpg
konza,2012,9,5,120104,training,konza_2012_09_05_120104.jpg
konza,2012,9,6,120103,training,konza_2012_09_06_120103.jpg
konza,2012,9,7,120104,training,konza_2012_09_07_120104.jpg
konza,2012,9,8,120104,training,konza_2012_09_08_120104.jpg
konza,2012,9,9,120103,training,konza_2012_09_09_120103.jpg
konza,2012,9,10,120105,training,konza_2012_09_10_120105.jpg
konza,2012,9,11,123103,training,konza_2012_09_11_123103.jpg
konza,2012,9,12,120104,training,konza_2012_09_12_120104.jpg
konza,2012,9,13,123103,training,konza_2012_09_13_123103.jpg
konza,2012,9,14,120103,training,konza_2012_09_14_120103.jpg
konza,2012,9,15,120105,training,konza_2012_09_15_120105.jpg
konza,2012,9,16,120105,training,konza_2012_09_16_120105.jpg
konza,2012,9,17,120104,training,konza_2012_09_17_120104.jpg
konza,2012,9,18,120103,training,konza_2012_09_18_120103.jpg
konza,2012,9,19,120104,training,konza_2012_09_19_120104.jpg
konza,2012,9,20,120106,training,konza_2012_09_20_120106.jpg
konza,2012,9,21,120106,training,konza_2012_09_21_120106.jpg
konza,2012,9,22,120105,training,konza_2012_09_22_120105.jpg
konza,2012,9,23,120105,training,konza_2012_09_23_120105.jpg
konza,2012,9,24,120106,training,konza_2012_09_24_120106.jpg
konza,2012,9,25,120106,training,konza_2012_09_25_120106.jpg
konza,2012,9,26,120106,training,konza_2012_09_26_120106.jpg
konza,2012,9,27,120105,training,konza_2012_09_27_120105.jpg
konza,2012,9,28,120104,training,konza_2012_09_28_120104.jpg
konza,2012,9,29,120104,training,konza_2012_09_29_120104.jpg
konza,2012,9,30,120104,training,konza_2012_09_30_120104.jpg
konza,2012,10,1,120105,training,konza_2012_10_01_120105.jpg
konza,2012,10,2,123104,training,konza_2012_10_02_123104.jpg
konza,2012,10,3,123102,training,konza_2012_10_03_123102.jpg
konza,2012,10,4,120103,training,konza_2012_10_04_120103.jpg
konza,2012,10,5,120103,training,konza_2012_10_05_120103.jpg
konza,2012,10,6,120106,training,konza_2012_10_06_120106.jpg
konza,2012,10,7,120105,training,konza_2012_10_07_120105.jpg
konza,2012,10,8,120103,training,konza_2012_10_08_120103.jpg
konza,2012,10,9,120104,training,konza_2012_10_09_120104.jpg
konza,2012,10,10,120104,training,konza_2012_10_10_120104.jpg
konza,2012,10,11,120103,training,konza_2012_10_11_120103.jpg
konza,2012,10,12,120103,training,konza_2012_10_12_120103.jpg
konza,2012,10,13,120106,training,konza_2012_10_13_120106.jpg
konza,2012,10,14,120103,training,konza_2012_10_14_120103.jpg
konza,2012,10,15,120103,training,konza_2012_10_15_120103.jpg
konza,2012,10,16,120105,training,konza_2012_10_16_120105.jpg
konza,2012,10,17,120106,training,konza_2012_10_17_120106.jpg
konza,2012,10,18,123104,training,konza_2012_10_18_123104.jpg
konza,2012,10,19,120104,training,konza_2012_10_19_120104.jpg
konza,2012,10,20,120105,training,konza_2012_10_20_120105.jpg
konza,2012,10,21,120105,training,konza_2012_10_21_120105.jpg
konza,2012,10,22,120105,training,konza_2012_10_22_120105.jpg
konza,2012,10,23,120104,training,konza_2012_10_23_120104.jpg
konza,2012,10,25,120118,training,konza_2012_10_25_120118.jpg
konza,2012,10,26,120136,training,konza_2012_10_26_120136.jpg
konza,2012,10,27,120119,training,konza_2012_10_27_120119.jpg
konza,2012,10,28,120118,training,konza_2012_10_28_120118.jpg
konza,2012,10,29,120124,training,konza_2012_10_29_120124.jpg
konza,2012,10,30,120134,training,konza_2012_10_30_120134.jpg
konza,2012,10,31,120114,training,konza_2012_10_31_120114.jpg
konza,2012,11,1,120119,training,konza_2012_11_01_120119.jpg
konza,2012,11,2,120117,training,konza_2012_11_02_120117.jpg
konza,2012,11,3,120116,training,konza_2012_11_03_120116.jpg
konza,2012,11,4,120114,training,konza_2012_11_04_120114.jpg
konza,2012,11,5,120117,training,konza_2012_11_05_120117.jpg
konza,2012,11,6,120124,training,konza_2012_11_06_120124.jpg
konza,2012,11,7,120115,training,konza_2012_11_07_120115.jpg
konza,2012,11,8,120122,training,konza_2012_11_08_120122.jpg
konza,2012,11,9,120119,training,konza_2012_11_09_120119.jpg
konza,2012,11,10,120121,training,konza_2012_11_10_120121.jpg
konza,2012,11,11,120116,training,konza_2012_11_11_120116.jpg
konza,2012,11,12,120102,training,konza_2012_11_12_120102.jpg
konza,2012,11,13,120125,training,konza_2012_11_13_120125.jpg
konza,2012,11,14,120123,training,konza_2012_11_14_120123.jpg
konza,2012,11,15,123116,training,konza_2012_11_15_123116.jpg
konza,2012,11,16,120117,training,konza_2012_11_16_120117.jpg
konza,2012,11,17,120119,training,konza_2012_11_17_120119.jpg
konza,2012,11,18,120124,training,konza_2012_11_18_120124.jpg
konza,2012,11,19,123115,training,konza_2012_11_19_123115.jpg
konza,2012,11,20,120118,training,konza_2012_11_20_120118.jpg
konza,2012,11,21,120120,training,konza_2012_11_21_120120.jpg
konza,2012,11,22,120116,training,konza_2012_11_22_120116.jpg
konza,2012,11,23,120121,training,konza_2012_11_23_120121.jpg
