site,year,month,day,time,dataset,file
usmpj,2013,9,20,120105,training,usmpj_2013_09_20_120105.jpg
usmpj,2013,9,21,120109,training,usmpj_2013_09_21_120109.jpg
usmpj,2013,9,26,120203,training,usmpj_2013_09_26_120203.jpg
usmpj,2013,9,27,120107,training,usmpj_2013_09_27_120107.jpg
usmpj,2013,9,28,120106,training,usmpj_2013_09_28_120106.jpg
usmpj,2013,9,29,120107,training,usmpj_2013_09_29_120107.jpg
usmpj,2013,9,30,120108,training,usmpj_2013_09_30_120108.jpg
usmpj,2013,10,1,120106,training,usmpj_2013_10_01_120106.jpg
usmpj,2013,10,2,120107,training,usmpj_2013_10_02_120107.jpg
usmpj,2013,10,3,120106,training,usmpj_2013_10_03_120106.jpg
usmpj,2013,10,4,120106,training,usmpj_2013_10_04_120106.jpg
usmpj,2013,10,5,120107,training,usmpj_2013_10_05_120107.jpg
usmpj,2013,10,6,120107,training,usmpj_2013_10_06_120107.jpg
usmpj,2013,10,7,120109,training,usmpj_2013_10_07_120109.jpg
usmpj,2013,10,8,120109,training,usmpj_2013_10_08_120109.jpg
usmpj,2013,10,9,120108,training,usmpj_2013_10_09_120108.jpg
usmpj,2013,10,10,120107,training,usmpj_2013_10_10_120107.jpg
usmpj,2013,10,11,120107,training,usmpj_2013_10_11_120107.jpg
usmpj,2013,10,12,120109,training,usmpj_2013_10_12_120109.jpg
usmpj,2013,10,13,120105,training,usmpj_2013_10_13_120105.jpg
usmpj,2013,10,14,120105,training,usmpj_2013_10_14_120105.jpg
usmpj,2013,10,15,120107,training,usmpj_2013_10_15_120107.jpg
usmpj,2013,10,16,120107,training,usmpj_2013_10_16_120107.jpg
usmpj,2013,10,17,120109,training,usmpj_2013_10_17_120109.jpg
usmpj,2013,10,18,120107,training,usmpj_2013_10_18_120107.jpg
usmpj,2013,10,19,120107,training,usmpj_2013_10_19_120107.jpg
usmpj,2013,10,20,120108,training,usmpj_2013_10_20_120108.jpg
usmpj,2013,10,21,120105,training,usmpj_2013_10_21_120105.jpg
usmpj,2013,10,22,120106,training,usmpj_2013_10_22_120106.jpg
usmpj,2013,10,23,120108,training,usmpj_2013_10_23_120108.jpg
usmpj,2013,10,24,120106,training,usmpj_2013_10_24_120106.jpg
usmpj,2013,10,25,120107,training,usmpj_2013_10_25_120107.jpg
usmpj,2013,10,26,120106,training,usmpj_2013_10_26_120106.jpg
usmpj,2013,10,27,120108,training,usmpj_2013_10_27_120108.jpg
usmpj,2013,10,28,120107,training,usmpj_2013_10_28_120107.jpg
usmpj,2013,10,29,120106,training,usmpj_2013_10_29_120106.jpg
usmpj,2013,10,30,120108,training,usmpj_2013_10_30_120108.jpg
usmpj,2013,10,31,120106,training,usmpj_2013_10_31_120106.jpg
usmpj,2013,11,1,120106,training,usmpj_2013_11_01_120106.jpg
usmpj,2013,11,2,120108,training,usmpj_2013_11_02_120108.jpg
usmpj,2013,11,3,120106,training,usmpj_2013_11_03_120106.jpg
usmpj,2013,11,4,120106,training,usmpj_2013_11_04_120106.jpg
usmpj,2013,11,5,120107,training,usmpj_2013_11_05_120107.jpg
usmpj,2013,11,6,120106,training,usmpj_2013_11_06_120106.jpg
usmpj,2013,11,7,120106,training,usmpj_2013_11_07_120106.jpg
usmpj,2013,11,8,120106,training,usmpj_2013_11_08_120106.jpg
usmpj,2013,11,9,120106,training,usmpj_2013_11_09_120106.jpg
usmpj,2013,11,10,120105,training,usmpj_2013_11_10_120105.jpg
usmpj,2013,11,12,120105,training,usmpj_2013_11_12_120105.jpg
usmpj,2013,11,13,120107,training,usmpj_2013_11_13_120107.jpg
usmpj,2013,11,14,120107,training,usmpj_2013_11_14_120107.jpg
usmpj,2013,11,15,120107,training,usmpj_2013_11_15_120107.jpg
usmpj,2013,11,16,120108,training,usmpj_2013_11_16_120108.jpg
usmpj,2013,11,17,120106,training,usmpj_2013_11_17_120106.jpg
usmpj,2013,11,18,120106,training,usmpj_2013_11_18_120106.jpg
usmpj,2013,11,19,120107,training,usmpj_2013_11_19_120107.jpg
usmpj,2013,11,20,120106,training,usmpj_2013_11_20_120106.jpg
usmpj,2013,11,21,120107,training,usmpj_2013_11_21_120107.jpg
usmpj,2013,11,22,123104,training,usmpj_2013_11_22_123104.jpg
usmpj,2013,11,23,113105,training,usmpj_2013_11_23_113105.jpg
usmpj,2013,11,24,120103,training,usmpj_2013_11_24_120103.jpg
usmpj,2013,11,25,120106,training,usmpj_2013_11_25_120106.jpg
usmpj,2013,11,26,120106,training,usmpj_2013_11_26_120106.jpg
usmpj,2013,11,27,120107,training,usmpj_2013_11_27_120107.jpg
usmpj,2013,11,28,120108,training,usmpj_2013_11_28_120108.jpg
usmpj,2013,11,29,120107,training,usmpj_2013_11_29_120107.jpg
usmpj,2013,11,30,120108,training,usmpj_2013_11_30_120108.jpg
usmpj,2013,12,1,120105,training,usmpj_2013_12_01_120105.jpg
usmpj,2013,12,2,120105,training,usmpj_2013_12_02_120105.jpg
usmpj,2013,12,3,120108,training,usmpj_2013_12_03_120108.jpg
usmpj,2013,12,4,120107,training,usmpj_2013_12_04_120107.jpg
usmpj,2013,12,5,120923,training,usmpj_2013_12_05_120923.jpg
usmpj,2013,12,6,120108,training,usmpj_2013_12_06_120108.jpg
usmpj,2013,12,7,120105,training,usmpj_2013_12_07_120105.jpg
usmpj,2013,12,8,120107,training,usmpj_2013_12_08_120107.jpg
usmpj,2013,12,9,120107,training,usmpj_2013_12_09_120107.jpg
usmpj,2013,12,10,120106,training,usmpj_2013_12_10_120106.jpg
usmpj,2013,12,11,120106,training,usmpj_2013_12_11_120106.jpg
usmpj,2013,12,12,120107,training,usmpj_2013_12_12_120107.jpg
usmpj,2013,12,13,120108,training,usmpj_2013_12_13_120108.jpg
usmpj,2013,12,14,120106,training,usmpj_2013_12_14_120106.jpg
usmpj,2013,12,15,120109,training,usmpj_2013_12_15_120109.jpg
usmpj,2013,12,16,120107,training,usmpj_2013_12_16_120107.jpg
usmpj,2013,12,17,120110,training,usmpj_2013_12_17_120110.jpg
usmpj,2013,12,18,120108,training,usmpj_2013_12_18_120108.jpg
usmpj,2013,12,19,120108,training,usmpj_2013_12_19_120108.jpg
usmpj,2013,12,20,120107,training,usmpj_2013_12_20_120107.jpg
usmpj,2013,12,21,120107,training,usmpj_2013_12_21_120107.jpg
usmpj,2013,12,22,120108,training,usmpj_2013_12_22_120108.jpg
usmpj,2013,12,23,120105,training,usmpj_2013_12_23_120105.jpg
usmpj,2013,12,24,120104,training,usmpj_2013_12_24_120104.jpg
usmpj,2013,12,25,120107,training,usmpj_2013_12_25_120107.jpg
usmpj,2013,12,26,120107,training,usmpj_2013_12_26_120107.jpg
usmpj,2013,12,27,120107,training,usmpj_2013_12_27_120107.jpg
usmpj,2013,12,28,120107,training,usmpj_2013_12_28_120107.jpg
usmpj,2013,12,29,120105,training,usmpj_2013_12_29_120105.jpg
usmpj,2013,12,30,120108,training,usmpj_2013_12_30_120108.jpg
usmpj,2013,12,31,120106,training,usmpj_2013_12_31_120106.jpg
usmpj,2014,1,1,120108,training,usmpj_2014_01_01_120108.jpg
usmpj,2014,1,2,120106,training,usmpj_2014_01_02_120106.jpg
usmpj,2014,1,3,120106,training,usmpj_2014_01_03_120106.jpg
usmpj,2014,1,4,120107,training,usmpj_2014_01_04_120107.jpg
usmpj,2014,1,5,120105,training,usmpj_2014_01_05_120105.jpg
usmpj,2014,1,6,120107,training,usmpj_2014_01_06_120107.jpg
usmpj,2014,1,7,120108,training,usmpj_2014_01_07_120108.jpg
usmpj,2014,1,8,120107,training,usmpj_2014_01_08_120107.jpg
usmpj,2014,1,9,120106,training,usmpj_2014_01_09_120106.jpg
usmpj,2014,1,10,120107,training,usmpj_2014_01_10_120107.jpg
usmpj,2014,1,11,120108,training,usmpj_2014_01_11_120108.jpg
usmpj,2014,1,12,120107,training,usmpj_2014_01_12_120107.jpg
usmpj,2014,1,13,120108,training,usmpj_2014_01_13_120108.jpg
usmpj,2014,1,14,120107,training,usmpj_2014_01_14_120107.jpg
usmpj,2014,1,15,120107,training,usmpj_2014_01_15_120107.jpg
usmpj,2014,1,16,120107,training,usmpj_2014_01_16_120107.jpg
usmpj,2014,1,17,120107,training,usmpj_2014_01_17_120107.jpg
usmpj,2014,1,18,120107,training,usmpj_2014_01_18_120107.jpg
usmpj,2014,1,19,120108,training,usmpj_2014_01_19_120108.jpg
usmpj,2014,1,20,120107,training,usmpj_2014_01_20_120107.jpg
usmpj,2014,1,21,120106,training,usmpj_2014_01_21_120106.jpg
usmpj,2014,1,22,120108,training,usmpj_2014_01_22_120108.jpg
usmpj,2014,1,23,120110,training,usmpj_2014_01_23_120110.jpg
usmpj,2014,1,24,120108,training,usmpj_2014_01_24_120108.jpg
usmpj,2014,1,25,120108,training,usmpj_2014_01_25_120108.jpg
usmpj,2014,1,26,120108,training,usmpj_2014_01_26_120108.jpg
usmpj,2014,1,27,120108,training,usmpj_2014_01_27_120108.jpg
usmpj,2014,1,28,120108,training,usmpj_2014_01_28_120108.jpg
usmpj,2014,1,29,120118,training,usmpj_2014_01_29_120118.jpg
usmpj,2014,1,30,120107,training,usmpj_2014_01_30_120107.jpg
usmpj,2014,1,31,123106,training,usmpj_2014_01_31_123106.jpg
usmpj,2014,2,5,120202,training,usmpj_2014_02_05_120202.jpg
usmpj,2014,2,6,120108,training,usmpj_2014_02_06_120108.jpg
usmpj,2014,2,7,120107,training,usmpj_2014_02_07_120107.jpg
usmpj,2014,2,8,120107,training,usmpj_2014_02_08_120107.jpg
usmpj,2014,2,9,120107,training,usmpj_2014_02_09_120107.jpg
usmpj,2014,2,10,120108,training,usmpj_2014_02_10_120108.jpg
usmpj,2014,2,11,120108,training,usmpj_2014_02_11_120108.jpg
usmpj,2014,2,12,120106,training,usmpj_2014_02_12_120106.jpg
usmpj,2014,2,13,120106,training,usmpj_2014_02_13_120106.jpg
usmpj,2014,2,14,120109,training,usmpj_2014_02_14_120109.jpg
usmpj,2014,2,15,120109,training,usmpj_2014_02_15_120109.jpg
usmpj,2014,2,16,120107,training,usmpj_2014_02_16_120107.jpg
usmpj,2014,2,17,120107,training,usmpj_2014_02_17_120107.jpg
usmpj,2014,2,18,120107,training,usmpj_2014_02_18_120107.jpg
usmpj,2014,2,19,120105,training,usmpj_2014_02_19_120105.jpg
usmpj,2014,2,20,120105,training,usmpj_2014_02_20_120105.jpg
usmpj,2014,2,21,120107,training,usmpj_2014_02_21_120107.jpg
usmpj,2014,2,22,120108,training,usmpj_2014_02_22_120108.jpg
usmpj,2014,2,23,120105,training,usmpj_2014_02_23_120105.jpg
usmpj,2014,2,24,120106,training,usmpj_2014_02_24_120106.jpg
usmpj,2014,2,25,120108,training,usmpj_2014_02_25_120108.jpg
usmpj,2014,2,26,120107,training,usmpj_2014_02_26_120107.jpg
usmpj,2014,2,27,120108,training,usmpj_2014_02_27_120108.jpg
usmpj,2014,3,1,120108,training,usmpj_2014_03_01_120108.jpg
usmpj,2014,3,2,120109,training,usmpj_2014_03_02_120109.jpg
usmpj,2014,3,3,120109,training,usmpj_2014_03_03_120109.jpg
usmpj,2014,3,4,120108,training,usmpj_2014_03_04_120108.jpg
usmpj,2014,3,5,120107,training,usmpj_2014_03_05_120107.jpg
usmpj,2014,3,6,120109,training,usmpj_2014_03_06_120109.jpg
usmpj,2014,3,7,120109,training,usmpj_2014_03_07_120109.jpg
usmpj,2014,3,8,120106,training,usmpj_2014_03_08_120106.jpg
usmpj,2014,3,9,120105,training,usmpj_2014_03_09_120105.jpg
usmpj,2014,3,10,120108,training,usmpj_2014_03_10_120108.jpg
usmpj,2014,3,11,120110,training,usmpj_2014_03_11_120110.jpg
usmpj,2014,3,12,120107,training,usmpj_2014_03_12_120107.jpg
usmpj,2014,3,13,120107,training,usmpj_2014_03_13_120107.jpg
usmpj,2014,3,14,120107,training,usmpj_2014_03_14_120107.jpg
usmpj,2014,3,15,120108,training,usmpj_2014_03_15_120108.jpg
usmpj,2014,3,16,120109,training,usmpj_2014_03_16_120109.jpg
usmpj,2014,3,17,120109,training,usmpj_2014_03_17_120109.jpg
usmpj,2014,3,18,120110,training,usmpj_2014_03_18_120110.jpg
usmpj,2014,3,19,120108,training,usmpj_2014_03_19_120108.jpg
usmpj,2014,3,20,120108,training,usmpj_2014_03_20_120108.jpg
