site,year,month,day,time,GBCC,snow1,snow_ratio1,snow2,snow_ratio2,snow3,snow_ratio3,snow_ratio
NEON.D18.TOOL.DP1.00033,2017,02,25,120006,-0.07046644173294524,743010.0,1.0,743010.0,1.0,743010.0,1.0,100.0
NEON.D18.TOOL.DP1.00033,2017,02,26,123005,-0.07082516460317674,743010.0,1.0,743010.0,1.0,743010.0,1.0,100.0
NEON.D18.TOOL.DP1.00033,2017,02,27,120006,-0.07944253642183435,743010.0,1.0,743010.0,1.0,743010.0,1.0,100.0
NEON.D18.TOOL.DP1.00033,2017,03,05,120006,-0.06213822959845924,685415.0,0.922484219593276,708478.0,0.953524178678618,742465.0,0.9992664970861765,99.92664970861766
NEON.D18.TOOL.DP1.00033,2017,03,06,120005,-0.061275115268030075,680708.0,0.916149176996272,705746.0,0.9498472429711579,742823.0,0.9997483210185596,99.97483210185595
NEON.D18.TOOL.DP1.00033,2017,03,07,120005,-0.07194522506214891,674441.0,0.9077145664257547,702446.0,0.9454058491810339,742621.0,0.9994764538835278,99.94764538835278
NEON.D18.TOOL.DP1.00033,2017,03,08,120005,-0.05756765273351313,716365.0,0.9641391098370143,742025.0,0.9986743112474933,743010.0,1.0,100.0
NEON.D18.TOOL.DP1.00033,2017,03,09,120006,-0.06613211445814318,743010.0,1.0,743010.0,1.0,743010.0,1.0,100.0
NEON.D18.TOOL.DP1.00033,2017,03,10,120006,-0.06057607469408639,743010.0,1.0,743010.0,1.0,743010.0,1.0,100.0
NEON.D18.TOOL.DP1.00033,2017,03,11,120006,-0.06182482302737048,743010.0,1.0,743010.0,1.0,743010.0,1.0,100.0
NEON.D18.TOOL.DP1.00033,2017,03,12,120006,-0.06440986099464394,743010.0,1.0,743010.0,1.0,743010.0,1.0,100.0
NEON.D18.TOOL.DP1.00033,2017,03,13,120006,-0.09587060196538963,743010.0,1.0,743010.0,1.0,743010.0,1.0,100.0
NEON.D18.TOOL.DP1.00033,2017,03,14,120006,-0.06796795695266375,727425.0,0.97902450841846,743010.0,1.0,743010.0,1.0,100.0
NEON.D18.TOOL.DP1.00033,2017,03,15,120005,-0.09913775935276344,672696.0,0.9053660112246134,742871.0,0.9998129231100523,743009.0,0.9999986541230939,99.99986541230939
NEON.D18.TOOL.DP1.00033,2017,03,16,120006,-0.09227704196007927,675758.0,0.909487086311086,742888.0,0.999835803017456,742988.0,0.9999703907080658,99.99703907080658
NEON.D18.TOOL.DP1.00033,2017,03,17,120006,-0.09133243257409308,676065.0,0.9099002705212581,742984.0,0.9999650072004415,743010.0,1.0,100.0
NEON.D18.TOOL.DP1.00033,2017,03,18,120006,-0.0779078818606906,681947.0,0.9178167184829276,742838.0,0.9997685091721511,743004.0,0.9999919247385635,99.99919247385634
NEON.D18.TOOL.DP1.00033,2017,03,19,120006,-0.07648538855484464,681802.0,0.9176215663315433,742884.0,0.9998304195098316,742988.0,0.9999703907080658,99.99703907080658
NEON.D18.TOOL.DP1.00033,2017,03,20,120005,-0.07882189996151552,684911.0,0.9218058976326026,743010.0,1.0,743010.0,1.0,100.0
NEON.D18.TOOL.DP1.00033,2017,03,27,120005,-0.07871442844838743,677221.0,0.9114561042247076,743005.0,0.9999932706154695,743010.0,1.0,100.0
NEON.D18.TOOL.DP1.00033,2017,03,28,120006,-0.044827789574817714,743010.0,1.0,743010.0,1.0,743010.0,1.0,100.0
NEON.D18.TOOL.DP1.00033,2017,03,29,120005,-0.07200735437120136,678295.0,0.9129015760218571,743002.0,0.9999892329847512,743004.0,0.9999919247385635,99.99919247385634
NEON.D18.TOOL.DP1.00033,2017,03,30,120006,-0.0738747352975721,677706.0,0.9121088545241652,742927.0,0.9998882922167939,743003.0,0.9999905788616573,99.99905788616573
NEON.D18.TOOL.DP1.00033,2017,03,31,120005,-0.07385703878452325,676851.0,0.9109581297694513,742973.0,0.9999502025544744,743005.0,0.9999932706154695,99.99932706154695
NEON.D18.TOOL.DP1.00033,2017,04,01,120006,-0.06684390633406677,684666.0,0.9214761577906084,743010.0,1.0,743010.0,1.0,100.0
NEON.D18.TOOL.DP1.00033,2017,04,02,120005,-0.12098387619604617,711419.0,0.9574824026594527,743010.0,1.0,743010.0,1.0,100.0
