site,year,month,day,time,GBCC,snow1,snow_ratio1,snow2,snow_ratio2,snow3,snow_ratio3,snow_ratio
arsmnswanlake1,2015,10,03,120008,0.08627036392837888,15.0,2.1136495259084112e-05,1113.0,0.0015683279482240412,1126.0,0.0015866462441152475,0.002113649525908411
arsmnswanlake1,2015,10,04,120009,0.07270616932034024,0.0,0.0,1641.0,0.002312332581343802,1641.0,0.002312332581343802,0.0
arsmnswanlake1,2015,10,05,120009,0.07672679071336959,0.0,0.0,1105.0,0.0015570551507525297,1105.0,0.0015570551507525297,0.0
arsmnswanlake1,2015,10,06,120009,0.0930462524053526,3.0,4.227299051816823e-06,458.0,0.0006453676552440349,461.0,0.0006495949542958517,0.00042272990518168227
arsmnswanlake1,2015,10,07,120007,0.09735599490399387,16.0,2.2545594943023054e-05,133.0,0.00018741025796387915,147.0,0.0002071376535390243,0.0022545594943023054
arsmnswanlake1,2015,10,08,120009,0.07238036010643803,17.0,2.3954694626961997e-05,1434.0,0.0020206489467684413,1435.0,0.0020220580464523803,0.0023954694626962
arsmnswanlake1,2015,10,09,120008,0.09191277316564075,20.0,2.8181993678778817e-05,1497.0,0.0021094222268565944,1497.0,0.0021094222268565944,0.0028181993678778818
arsmnswanlake1,2015,10,10,120010,0.10043714563647319,3.0,4.227299051816823e-06,177.0,0.00024941064405719255,177.0,0.00024941064405719255,0.00042272990518168227
arsmnswanlake1,2015,10,11,120009,0.10116527967771287,7.0,9.863697787572586e-06,159.0,0.0002240468497462916,166.0,0.00023391054753386418,0.0009863697787572587
arsmnswanlake1,2015,10,12,120010,0.08219254702432777,1.0,1.4090996839389409e-06,164.0,0.00023109234816598632,164.0,0.00023109234816598632,0.0001409099683938941
arsmnswanlake1,2015,10,13,120009,0.09546835230074768,11.0,1.550009652332835e-05,825.0,0.0011625072392496263,827.0,0.0011653254386175041,0.0015500096523328349
arsmnswanlake1,2015,10,14,120009,0.09543218971870196,7.0,9.863697787572586e-06,713.0,0.0010046880746484648,719.0,0.0010131426727520985,0.0009863697787572587
arsmnswanlake1,2015,10,15,120009,0.09019892389667199,9.0,1.2681897155450468e-05,1349.0,0.0019008754736336312,1352.0,0.001905102772685448,0.0012681897155450467
arsmnswanlake1,2015,10,16,120009,0.060611261119867615,31.0,4.368209020210717e-05,1682.0,0.0023701056683852985,1699.0,0.0023940603630122604,0.004368209020210717
arsmnswanlake1,2015,10,17,120007,0.08484649791347815,29.0,4.0863890834229285e-05,671.0,0.0009455058879230293,681.0,0.0009595968847624188,0.0040863890834229285
