site,year,month,day,time,GBCC,snow1,snow_ratio1,snow2,snow_ratio2,snow3,snow_ratio3,snow_ratio
burnssagebrush,2012,10,16,120232,0.07238293051537903,45212.0,0.053111982501192354,14493.0,0.017025390657121577,48311.0,0.05675247692239015,1.7025390657121577
burnssagebrush,2012,10,17,120220,0.12696417154435904,83.0,9.750275474650458e-05,37.0,4.346508344121289e-05,120.0,0.00014096783818771748,0.009750275474650459
burnssagebrush,2012,10,18,120159,0.129112642738769,85.0,9.985221871629988e-05,46.0,5.40376713052917e-05,125.0,0.0001468414981122057,0.009985221871629988
burnssagebrush,2012,10,19,120140,0.1152663571652387,72.0,8.458070291263048e-05,182.0,0.0002138012212513715,215.0,0.0002525673767529938,0.008458070291263048
burnssagebrush,2012,10,20,120144,0.10770705031098417,29420.0,0.034560614995688736,41144.0,0.04833317278662873,41430.0,0.048669146134309456,4.833317278662872
burnssagebrush,2012,10,21,120150,0.12989467385682843,119.0,0.00013979310620281982,46.0,5.40376713052917e-05,158.0,0.000185607653613828,0.013979310620281982
burnssagebrush,2012,10,22,120141,0.10721533529124543,75.0,8.810489886732342e-05,481.0,0.0005650460847357675,525.0,0.000616734292071264,0.008810489886732342
burnssagebrush,2012,10,23,120151,0.08009651338034901,18413.0,0.02163034003792035,5081.0,0.005968813215264938,19437.0,0.022833265590455537,0.5968813215264938
burnssagebrush,2012,10,24,120149,0.10608489033223105,150.0,0.00017620979773464685,436.0,0.0005121831454153735,500.0,0.0005873659924488228,0.017620979773464683
burnssagebrush,2012,10,25,120146,0.0873512811555502,9874.0,0.011599303618879352,1756.0,0.002062829365480266,11136.0,0.01308181538382018,0.20628293654802657
burnssagebrush,2012,10,26,120152,0.1176450540760196,2.0,2.3494639697952913e-06,24.0,2.8193567637543495e-05,26.0,3.0543031607338785e-05,0.00023494639697952912
burnssagebrush,2012,10,27,120145,0.11876780528535569,28.0,3.2892495577134074e-05,268.0,0.000314828171952569,281.0,0.0003300996877562384,0.0032892495577134073
burnssagebrush,2012,10,28,120149,0.12566850867808158,16.0,1.879571175836233e-05,52.0,6.108606321467757e-05,60.0,7.048391909385874e-05,0.001879571175836233
burnssagebrush,2012,10,29,120156,0.12797862563020115,107.0,0.00012569632238404807,63.0,7.400811504855167e-05,165.0,0.00019383077750811153,0.012569632238404807
burnssagebrush,2012,10,30,120218,0.13197388726733147,23.0,2.701883565264585e-05,60.0,7.048391909385874e-05,83.0,9.750275474650458e-05,0.002701883565264585
burnssagebrush,2012,10,31,123151,0.11730929521139455,16.0,1.879571175836233e-05,121.0,0.00014214257017261512,134.0,0.0001574140859762845,0.001879571175836233
burnssagebrush,2012,11,01,120140,0.12748347211083044,94.0,0.00011042480658037868,655.0,0.0007694494501079579,747.0,0.0008775247927185413,0.011042480658037868
burnssagebrush,2012,11,02,123141,0.13180301406556766,224.0,0.0002631399646170726,91.0,0.00010690061062568575,306.0,0.00035946798737867956,0.02631399646170726
burnssagebrush,2012,11,03,120226,0.13230586558899843,78.0,9.162909482201635e-05,59.0,6.93091871089611e-05,133.0,0.00015623935399138687,0.009162909482201635
burnssagebrush,2012,11,04,120236,0.13298083460282942,15.0,1.7620979773464685e-05,43.0,5.051347535059876e-05,54.0,6.343552718447287e-05,0.0017620979773464685
burnssagebrush,2012,11,05,120223,0.13626624346393945,160.0,0.0001879571175836233,33.0,3.87661555016223e-05,187.0,0.00021967488117585973,0.01879571175836233
burnssagebrush,2012,11,06,120308,0.1325620636983992,197.0,0.0002314222010248362,43.0,5.051347535059876e-05,231.0,0.0002713630885113561,0.02314222010248362
burnssagebrush,2012,11,07,120234,0.12732840691450034,130.0,0.00015271515803669394,33.0,3.87661555016223e-05,158.0,0.000185607653613828,0.015271515803669394
burnssagebrush,2012,11,08,120229,0.09195230907345837,866.0,0.0010173178989213612,681.0,0.0007999924817152967,1383.0,0.0016246543351134438,0.10173178989213612
burnssagebrush,2012,11,09,120214,0.10552286503762001,54.0,6.343552718447287e-05,185.0,0.00021732541720606444,216.0,0.00025374210873789146,0.006343552718447287
burnssagebrush,2012,11,10,120232,0.1098073277146039,271.0,0.00031835236790726194,565.0,0.0006637235714671698,719.0,0.0008446322971414072,0.031835236790726196
burnssagebrush,2012,11,11,120234,0.11784843654485834,13.0,1.5271515803669392e-05,142.0,0.0001668119418554657,146.0,0.00017151086979505625,0.0015271515803669392
burnssagebrush,2012,11,12,120232,0.043999652980404154,390069.0,0.4582265306170397,250950.0,0.2947989916100642,391412.0,0.45980419567275727,29.47989916100642
burnssagebrush,2012,11,13,120211,0.11534398204110945,123.0,0.00014449203414241041,314.0,0.00036886584325786074,365.0,0.0004287771744876406,0.014449203414241042
burnssagebrush,2012,11,14,120158,0.11562324146631342,44267.0,0.05200186077546408,54911.0,0.06450570802271462,61830.0,0.07263367862622143,6.450570802271462
burnssagebrush,2012,11,15,120229,0.12255678294582954,192.0,0.00022554854110034796,1101.0,0.0012933799153723078,1166.0,0.0013697374943906547,0.022554854110034796
burnssagebrush,2012,11,16,120239,0.12515809186147722,71.0,8.340597092773284e-05,226.0,0.0002654894285868679,267.0,0.0003136534399676714,0.008340597092773284
burnssagebrush,2012,11,17,120229,0.11157931323904363,1126.0,0.001322748214994749,4137.0,0.00485986622152156,4578.0,0.005377923026861422,0.1322748214994749
burnssagebrush,2012,11,18,120228,0.12173436692690742,3511.0,0.004124483998975634,1019.0,0.0011970518926107008,4112.0,0.004830497921899119,0.4124483998975634
burnssagebrush,2012,11,19,120209,0.096515521674955,1380.0,0.0016211301391587509,2218.0,0.002605555542502978,3169.0,0.003722725660140639,0.1621130139158751
burnssagebrush,2012,11,20,120924,0.11538079822615505,82.0,9.632802276160693e-05,445.0,0.0005227557332794523,457.0,0.000536852517098224,0.009632802276160693
burnssagebrush,2012,11,21,120225,0.10846832957314155,2021.0,0.002374133341478142,786.0,0.0009233393401295494,2694.0,0.0031647279673142573,0.23741333414781418
burnssagebrush,2012,11,22,120236,0.11614598853629833,512.0,0.0006014627762675946,407.0,0.00047811591785334176,875.0,0.00102789048678544,0.060146277626759455
burnssagebrush,2012,11,23,120249,0.11068971093414323,411.0,0.00048281484579293236,914.0,0.001073705034196448,1152.0,0.0013532912466020877,0.04828148457929324
burnssagebrush,2012,11,24,120218,0.1064456353419622,512.0,0.0006014627762675946,845.0,0.0009926485272385105,1136.0,0.0013344955348437255,0.060146277626759455
burnssagebrush,2012,11,25,120226,0.11109925470362024,865.0,0.0010161431669364635,291.0,0.00034184700760521485,1128.0,0.0013250976789645442,0.10161431669364634
burnssagebrush,2012,11,26,120216,0.11889199411350154,275.0,0.00032305129584685253,159.0,0.00018678238559872564,413.0,0.0004851643097627276,0.032305129584685253
burnssagebrush,2012,11,27,120223,0.11474228892802774,380.0,0.00044639815426110533,1674.0,0.001966501342718659,1852.0,0.0021756036360304396,0.044639815426110535
burnssagebrush,2012,11,28,120222,0.11406527464698915,697.0,0.000818788193473659,1625.0,0.001908939475458674,2019.0,0.0023717838775083465,0.08187881934736589
burnssagebrush,2012,11,29,120143,0.1011711197121051,811.0,0.0009527076397519905,1928.0,0.0022648832668826606,2484.0,0.002918034250485752,0.09527076397519905
burnssagebrush,2012,11,30,120252,0.10636265413180737,1009.0,0.0011853045727617244,2533.0,0.0029755961177457364,3030.0,0.003559437914239866,0.11853045727617244
burnssagebrush,2012,12,01,120214,0.14103000451751338,190.0,0.00022319907713055267,1097.0,0.0012886809874327171,1125.0,0.0013215734830098512,0.022319907713055268
burnssagebrush,2012,12,02,120228,0.10307010288244123,1344.0,0.0015788397877024357,1552.0,0.001823184040561146,2728.0,0.0032046688548007774,0.15788397877024357
burnssagebrush,2012,12,03,120231,0.12517782958613183,196.0,0.00023024746903993853,940.0,0.0011042480658037868,1008.0,0.0011841298407768268,0.023024746903993854
burnssagebrush,2012,12,04,120220,0.09988815982805968,2771.0,0.003255182330151376,3312.0,0.0038907123339810023,5389.0,0.006330630666613412,0.3255182330151376
burnssagebrush,2012,12,05,120109,0.11828549739155983,237.0,0.000278411480420742,118.0,0.0001386183742179222,349.0,0.0004099814627292783,0.027841148042074198
burnssagebrush,2012,12,06,120121,0.10355766210317975,733.0,0.0008610785449299742,1412.0,0.0016587215626754756,1843.0,0.0021650310481663606,0.08610785449299742
burnssagebrush,2012,12,07,120111,0.12141088528221546,190.0,0.00022319907713055267,568.0,0.0006672477674218628,689.0,0.0008093903375944779,0.022319907713055268
burnssagebrush,2012,12,08,120109,0.11540213917798797,75.0,8.810489886732342e-05,453.0,0.0005321535891586335,484.0,0.0005685702806904605,0.008810489886732342
burnssagebrush,2012,12,09,120112,0.1286687629484118,35.0,4.11156194714176e-05,259.0,0.0003042555840884902,270.0,0.00031717763592236433,0.00411156194714176
burnssagebrush,2012,12,10,120112,0.10862378554720399,675.0,0.0007929440898059108,90.0,0.0001057258786407881,759.0,0.000891621576537313,0.07929440898059108
burnssagebrush,2012,12,11,120112,0.11007137673601997,321.0,0.00037708896715214427,528.0,0.0006202584880259568,734.0,0.0008622532769148719,0.03770889671521443
burnssagebrush,2012,12,12,120112,0.09038433167562618,132550.0,0.15571072459818291,68111.0,0.08001217022336354,137794.0,0.16187101912698618,8.001217022336354
burnssagebrush,2012,12,13,120111,0.10438230555339713,35016.0,0.04113441518317596,11835.0,0.013902953041263636,39185.0,0.04603187282821424,1.3902953041263635
burnssagebrush,2012,12,14,120112,0.07820675849036372,103133.0,0.12115363379844889,60522.0,0.07109712918997531,104382.0,0.12262087404758604,7.1097129189975306
burnssagebrush,2012,12,15,120112,0.04103963368863109,467904.0,0.549661794661548,214305.0,0.25175093802348997,468130.0,0.5499272840901348,25.175093802348997
burnssagebrush,2012,12,16,120109,0.006209905189216028,838830.0,0.985400430891692,707626.0,0.8312708955451814,839389.0,0.9860571060712499,83.12708955451814
burnssagebrush,2012,12,17,120110,0.0354305474058243,541620.0,0.6362583376602629,175064.0,0.20565328020412144,548843.0,0.6447434267871786,20.565328020412142
burnssagebrush,2012,12,18,120039,0.0,850989.0,0.9996839970960625,401475.0,0.4716255236367823,850989.0,0.9996839970960625,47.16255236367823
burnssagebrush,2012,12,19,123110,0.011143200057603959,658794.0,0.7739063832586596,542142.0,0.6368715477563793,661086.0,0.776598868968045,63.687154775637936
burnssagebrush,2012,12,20,120112,0.05456007587224005,518227.0,0.6087778323375522,347155.0,0.40781408221714216,518436.0,0.6090233513223958,40.781408221714216
burnssagebrush,2012,12,21,120111,0.025850971104576466,549526.0,0.6455457687328636,391911.0,0.4603903869332212,550868.0,0.6471222590565963,46.03903869332212
burnssagebrush,2012,12,22,120109,0.01220361292417973,625948.0,0.7353211364827115,460229.0,0.5406457266774586,627645.0,0.7373146566610828,54.06457266774586
burnssagebrush,2012,12,23,120111,-0.01531209403708302,766993.0,0.9010112092925999,555217.0,0.652231168458916,770557.0,0.9051979540867751,65.22311684589161
burnssagebrush,2012,12,24,120110,0.037586618253741676,518516.0,0.6091173298811876,348772.0,0.40971362383672166,525726.0,0.6175871474922996,40.971362383672165
burnssagebrush,2012,12,25,120109,-0.00743415770442073,777597.0,0.9134680672604545,612236.0,0.719213211505795,779601.0,0.9158222301581894,71.9213211505795
burnssagebrush,2012,12,26,120039,0.0,851258.0,1.0,781216.0,0.9177194223137991,851258.0,1.0,91.77194223137991
burnssagebrush,2012,12,27,120112,-2.529920981704257e-05,819595.0,0.9628044611621859,690074.0,0.8106519997462579,820860.0,0.9642904971230813,81.06519997462578
