site,year,month,day,time,GBCC,snow1,snow_ratio1,snow2,snow_ratio2,snow3,snow_ratio3,snow_ratio
hawbeckereddy,2015,09,24,120006,0.238479558971121,7.0,9.480572951654495e-06,0.0,0.0,7.0,9.480572951654495e-06,0.0009480572951654495
hawbeckereddy,2015,09,25,120008,0.27937418910365897,3.0,4.063102693566212e-06,0.0,0.0,3.0,4.063102693566212e-06,0.0004063102693566212
hawbeckereddy,2015,09,26,120008,0.25407080537772764,4.0,5.417470258088283e-06,0.0,0.0,4.0,5.417470258088283e-06,0.0005417470258088284
hawbeckereddy,2015,09,27,120008,0.2507191873843193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hawbeckereddy,2015,09,28,120008,0.24928336499189085,3.0,4.063102693566212e-06,0.0,0.0,3.0,4.063102693566212e-06,0.0004063102693566212
hawbeckereddy,2015,09,29,120007,0.2528002763380578,3.0,4.063102693566212e-06,0.0,0.0,3.0,4.063102693566212e-06,0.0004063102693566212
hawbeckereddy,2015,09,30,120007,0.21339333280915623,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hawbeckereddy,2015,10,01,120009,0.23760580235346515,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hawbeckereddy,2015,10,05,120007,0.23320204465214267,3.0,4.063102693566212e-06,0.0,0.0,3.0,4.063102693566212e-06,0.0004063102693566212
hawbeckereddy,2015,10,06,120005,0.23846675001248557,2.0,2.7087351290441417e-06,0.0,0.0,2.0,2.7087351290441417e-06,0.0002708735129044142
hawbeckereddy,2015,10,07,120008,0.24746560124692302,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hawbeckereddy,2015,10,08,120007,0.22412534659147712,13.0,1.760677833878692e-05,0.0,0.0,13.0,1.760677833878692e-05,0.001760677833878692
hawbeckereddy,2015,10,09,120008,0.24815880028497916,1.0,1.3543675645220708e-06,0.0,0.0,1.0,1.3543675645220708e-06,0.0001354367564522071
hawbeckereddy,2015,10,10,120008,0.20908508224191227,41.0,5.55290701454049e-05,0.0,0.0,41.0,5.55290701454049e-05,0.0055529070145404905
hawbeckereddy,2015,10,11,120008,0.2146488377703004,80.0,0.00010834940516176566,0.0,0.0,80.0,0.00010834940516176566,0.010834940516176566
hawbeckereddy,2015,10,12,120009,0.16710564530065228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hawbeckereddy,2015,10,13,120008,0.18487923754030056,70.0,9.480572951654495e-05,0.0,0.0,70.0,9.480572951654495e-05,0.009480572951654494
hawbeckereddy,2015,10,14,120008,0.17025608659418473,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hawbeckereddy,2015,10,15,120008,0.16442772564127886,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hawbeckereddy,2015,10,16,120008,0.17586138857946568,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hawbeckereddy,2015,10,17,120008,0.18027106984630514,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hawbeckereddy,2015,10,18,120005,0.1583859428315972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
