site,year,month,day,time,GBCC,snow1,snow_ratio1,snow2,snow_ratio2,snow3,snow_ratio3,snow_ratio
konza,2012,05,16,103104,0.22540180820872238,224.0,0.00041932959680710463,27.0,5.054419247228493e-05,225.0,0.00042120160393570777,0.041932959680710466
konza,2012,05,17,120923,0.220009208740527,115.0,0.00021528081978936176,13.0,2.4336092671840893e-05,115.0,0.00021528081978936176,0.021528081978936176
konza,2012,05,18,120923,0.24239788674753945,26.0,4.8672185343681786e-05,14.0,2.620809980044404e-05,26.0,4.8672185343681786e-05,0.004867218534368179
konza,2012,05,19,120250,0.22185429674525065,27.0,5.054419247228493e-05,0.0,0.0,27.0,5.054419247228493e-05,0.005054419247228493
konza,2012,05,20,120105,0.23670322016195186,194.0,0.0003631693829490103,28.0,5.241619960088808e-05,194.0,0.0003631693829490103,0.03631693829490103
konza,2012,05,21,120105,0.22391751578388125,133.0,0.0002489769481042184,22.0,4.118415682926921e-05,133.0,0.0002489769481042184,0.02489769481042184
konza,2012,05,23,120108,0.21816346479020549,28.0,5.241619960088808e-05,1.0,1.8720071286031457e-06,28.0,5.241619960088808e-05,0.005241619960088808
konza,2012,05,24,120106,0.2242308659358659,25.0,4.6800178215078646e-05,0.0,0.0,25.0,4.6800178215078646e-05,0.004680017821507864
konza,2012,06,11,120923,0.23230648824625616,35.0,6.55202495011101e-05,1.0,1.8720071286031457e-06,35.0,6.55202495011101e-05,0.006552024950111011
konza,2012,06,12,113922,0.23818830058570725,12.0,2.246408554323775e-05,0.0,0.0,12.0,2.246408554323775e-05,0.002246408554323775
konza,2012,06,13,100921,0.20728331332999017,183.0,0.0003425773045343757,0.0,0.0,183.0,0.0003425773045343757,0.034257730453437565
konza,2012,06,15,121459,0.24616151337202735,7.0,1.310404990022202e-05,0.0,0.0,7.0,1.310404990022202e-05,0.001310404990022202
konza,2012,06,16,122422,0.24535957441234874,13.0,2.4336092671840893e-05,1.0,1.8720071286031457e-06,14.0,2.620809980044404e-05,0.0024336092671840893
konza,2012,06,18,125422,0.2307495653849011,34.0,6.364824237250695e-05,0.0,0.0,34.0,6.364824237250695e-05,0.006364824237250695
konza,2012,06,19,114832,0.21637797903024186,97.0,0.00018158469147450514,0.0,0.0,97.0,0.00018158469147450514,0.018158469147450514
konza,2012,06,20,105943,0.2489872822354706,5.0,9.360035643015729e-06,0.0,0.0,5.0,9.360035643015729e-06,0.0009360035643015728
konza,2012,06,21,120115,0.2458082093199909,69.0,0.00012916849187361707,0.0,0.0,69.0,0.00012916849187361707,0.012916849187361707
konza,2012,06,22,120115,0.23129430438772206,105.0,0.0001965607485033303,0.0,0.0,105.0,0.0001965607485033303,0.019656074850333032
konza,2012,06,23,123113,0.23507353714663964,68.0,0.0001272964847450139,0.0,0.0,68.0,0.0001272964847450139,0.01272964847450139
