site,year,month,day,time,GBCC,snow1,snow_ratio1,snow2,snow_ratio2,snow3,snow_ratio3,snow_ratio
lacclair,2014,08,23,120008,0.15342589275828122,1397.0,0.0025442929160474402,1498.0,0.0027282396479878777,2845.0,0.005181469825450943,0.25442929160474403
lacclair,2014,08,24,120005,0.1563857355079463,1186.0,0.002160008159221377,2102.0,0.003828277530087129,3250.0,0.005919078007984381,0.2160008159221377
lacclair,2014,08,25,120006,0.1554762378533548,1707.0,0.0031088818952705656,1053.0,0.0019177812745869395,2741.0,0.004992059329195443,0.31088818952705655
lacclair,2014,08,26,120006,0.1625266667972905,1250.0,0.002276568464609377,1093.0,0.0019906314654544394,2330.0,0.004243523618031879,0.2276568464609377
lacclair,2014,08,27,100006,0.163625414455484,1184.0,0.0021563656496780023,1265.0,0.00230388728618469,2420.0,0.004407436547483754,0.21563656496780023
lacclair,2014,08,28,120007,0.16401722471733257,1176.0,0.002141795611504502,2273.0,0.004139712096045692,3412.0,0.006214121280997756,0.21417956115045023
lacclair,2014,08,29,120006,0.14838678138621908,1663.0,0.0030287466853163155,1563.0,0.0028466212081475653,3188.0,0.005806160212139756,0.30287466853163153
lacclair,2014,09,08,120005,0.1452695642785522,1935.0,0.003524127983215316,1802.0,0.003281901098580878,3667.0,0.006678541247778069,0.3524127983215316
lacclair,2014,09,09,120007,0.16168575149699826,1447.0,0.002635355654631815,770.0,0.0014023661741993764,2206.0,0.004017688026342629,0.2635355654631815
lacclair,2014,09,10,120007,0.14539968236345371,2017.0,0.0036734708744936913,1446.0,0.0026335343998601275,3430.0,0.006246903866888131,0.3673470874493691
lacclair,2014,09,11,120008,0.09394196965480914,12451.0,0.022676443162281085,73519.0,0.13389682955969345,75223.0,0.13700024769064895,13.389682955969345
lacclair,2014,09,12,120007,0.14307023478108416,2398.0,0.004367368942506629,1527.0,0.0027810560363668154,3857.0,0.0070245796543986945,0.4367368942506629
lacclair,2014,09,13,120008,0.1635426082969041,899.0,0.0016373080397470642,512.0,0.000932482443104001,1408.0,0.0025643267185360024,0.16373080397470643
lacclair,2014,09,14,120008,0.1655873257332804,617.0,0.0011237141941311886,509.0,0.0009270186787889384,1118.0,0.002036162834746627,0.11237141941311886
lacclair,2014,09,15,120008,0.16375586265480915,762.0,0.0013877961360258765,366.0,0.0006665792464376257,1127.0,0.0020525541276918144,0.13877961360258764
lacclair,2014,09,16,120007,0.15196103878144654,1363.0,0.0024823702538100648,1370.0,0.0024951190372118773,2719.0,0.0049519917242183175,0.24823702538100648
lacclair,2014,09,18,120006,0.1575913625713781,1800.0,0.0032782585890375033,444.0,0.0008086371186292508,2239.0,0.004077789433808317,0.3278258589037503
lacclair,2014,09,19,120006,0.14533852375527487,1467.0,0.002671780750065565,857.0,0.001560815339336189,2299.0,0.0041870647201095665,0.2671780750065565
lacclair,2014,09,20,120008,0.17809774054699035,837.0,0.001524390243902439,311.0,0.000566410233994813,1148.0,0.002090800477897252,0.1524390243902439
lacclair,2014,09,22,120006,0.18003891983015946,832.0,0.0015152839700440016,429.0,0.0007813182970539383,1261.0,0.0022966022670979397,0.15152839700440016
