site,year,month,day,time,snow_ratio_singlesvm,img_type,file,GBCC,GBCC_r,GCC,fog,kmeans,snow_es
willowcreek,2012,12,1,120111,61.49747965069011,or_img,willowcreek_2012_12_01_120111.jpg,0.02278236031909168,0.14908798745086035,0.32578663308840194,0.0,30.02925490849814,30.02925490849814
willowcreek,2012,12,26,120133,85.97554393496965,or_img,willowcreek_2012_12_26_120133.jpg,0.006722657889522057,0.26657356837463775,0.3249917010395262,0.0,58.565293375765016,58.565293375765016
willowcreek,2013,2,10,120115,88.5808841513822,or_img,willowcreek_2013_02_10_120115.jpg,0.0061205612396340045,0.2748786283396849,0.32690761956747205,0.0,61.33296349080336,88.5808841513822
willowcreek,2013,2,11,120109,97.99683811965134,or_img,willowcreek_2013_02_11_120109.jpg,0.0070851912902830765,0.2681545085489647,0.33124143247301563,0.0,54.38994429133024,54.38994429133024
willowcreek,2013,2,12,120112,92.93250054998134,or_img,willowcreek_2013_02_12_120112.jpg,0.007003141962413552,0.28445308624937315,0.32650418493002414,0.0,34.09693062583094,34.09693062583094
willowcreek,2013,4,19,120111,76.07861248929073,or_img,willowcreek_2013_04_19_120111.jpg,0.01692682515934461,0.20800636202026937,0.3279440124383772,0.0,36.29576288903495,36.29576288903495
willowcreek,2013,4,23,120108,63.73607454057769,or_img,willowcreek_2013_04_23_120108.jpg,0.030769496390124225,0.0225717811060569,0.3288503669534901,0.0,52.41137785016732,52.41137785016732
willowcreek,2013,5,3,120110,59.33991306878661,or_img,willowcreek_2013_05_03_120110.jpg,0.034666261609477854,0.017513319113525716,0.3326700649610781,0.0,33.20165663947049,33.20165663947049
willowcreek,2013,10,21,120111,50.640096304808544,or_img,willowcreek_2013_10_21_120111.jpg,0.021374252387986674,0.18474727503030022,0.31850177119548373,0.0,49.72746886968926,49.72746886968926
willowcreek,2013,11,6,120110,87.42353209636494,or_img,willowcreek_2013_11_06_120110.jpg,0.016076110114139317,0.14748518466392382,0.3294023765372909,0.0,60.732561492014,87.42353209636494
willowcreek,2013,11,7,123110,81.1523783106486,or_img,willowcreek_2013_11_07_123110.jpg,-0.03773397664635277,0.743092439225353,0.31297691652212456,0.0,40.50868833889236,40.50868833889236
willowcreek,2013,12,5,120109,82.74793910715823,or_img,willowcreek_2013_12_05_120109.jpg,0.017473905278773332,0.15185360794596656,0.3281814724740325,0.0,31.633970674038007,31.633970674038007
